Question,Answer,Topic,Keywords
What does CDC say about depression in women's reproductive health?,"Depression is common. Women can feel depressed for many reasons. Some may not even know why. There are ways to help you feel better, such as counseling or other treatments. Talking to your health care provider is a good first step if you think you may have depression. We monitor prevalence and treatment of depression among women of reproductive age, during pregnancy and postpartum. Trying to get pregnant, being pregnant, or the birth of a baby can increase the risk for depression. Other events, such as losing a baby or having trouble getting pregnant, can also cause depression.",Women's reproductive health,age and fertility; infertility treatment; depression; women's reproductive health; CDC
What does CDC say about female genital mutilation or cutting?,"Female genital mutilation or cutting (FGM/C) procedures could mean piercing, cutting, removing, or sewing closed all or part of a girl’s or woman’s external genitals. DRH has worked to collect information on FGM/C and related health characteristics, behaviors, and attitudes from US-resident women who were born, or whose mothers were born, in a country where FGM/C is a prevalent practice.",Women's reproductive health,female genital mutilation; women's reproductive health; CDC
What does CDC say about infertility in women's reproductive health?,"Infertility means not being able to get pregnant after 1 year of trying. If a woman is 35 or older, infertility is based on 6 months of trying to become pregnant. In the United States, 1 in 5 (19%) of married women aged 15 to 49 with no prior births are unable to get pregnant after 1 year of trying. CDC is committed to preventing infertility and its burden on women and families. We work with other federal agencies and nonprofit organizations to meet this goal. We also provide data and evidence about infertility, including its causes and consequences. May 15, 2024",Women's reproductive health,infertility; women's reproductive health; CDC
What is the percent of women ages 15–49 who have impaired fecundity?,13.4%,Infertility statistics,infertility; fecundity; fertility statistics; CDC
"What is the percent of women ages 15–49 who have impaired fecundity, by parity?",0 births: 13.8%; 1 or more births: 13.1%,Infertility statistics,infertility; fecundity; fertility statistics; CDC
What is the percent of married women ages 15–49 who have impaired fecundity?,16.3%,Infertility statistics,infertility; fecundity; fertility statistics; CDC
"What is the percent of married women ages 15–49 who have impaired fecundity, by parity?",0 births: 26.0%; 1 or more births: 14.1%,Infertility statistics,infertility; fecundity; fertility statistics; CDC
What is the percent of married women ages 15–49 who are infertile?,8.5%,Infertility statistics,infertility; fertility statistics; CDC
"What is the percent of married women ages 15–49 who are infertile, by parity?",0 births: 19.4%; 1 or more births: 6.0%,Infertility statistics,infertility; fertility statistics; CDC
What is the percent of women ages 20–49 who have ever used fertility services?,13.7%,Infertility statistics,infertility; fertility statistics; CDC
