Question,Answer,Topic,Keywords
"Hi iam 34years. We are trying for a baby for the past 1 year... my periods were regular and my doctor said my ovulation is normal. I had been taking folic acid supplements only. I did foliicular study for about 5 months ina row and everything was normal. Recently my last cycle ended up being an anovulatory cycle. I got my regular periods without any delay. My bleeding was also normal. My husbands reports are normal too. All mu harmonal blood tests were normal, the same month i had anovulation. Is thus possible. What is happening to me?","Hi I think you can take some medicines like camphene for inducing ovulation. Track your follicles' growth by repeated ultrasound and when follicle is more than 17 to 18 mm, take injection for rupture of follicles. Be in contact with your husband every 2 to 3 days after your periods stop. Take progesterone for next 2 weeks after rupture is confirmed on ultrasound. Do a urine pregnancy test after that. You can try like that for 3 to 6 cycles.",PCOS,anovulation
"Hello, Doctor! If I may ask, is there any danger of overdosing on a birth control pill? I took 4 today to catch up. I have PCOS and my doctor advised me to take Diane35.","Hi, Overdosing up to two pills is done to make up for a missed pill, but taking four pills at a time is not going to help make up the missed doses and the cycle is no longer protected. You may also see a breakthrough bleeding due to excessive hormone levels. Other side effects like rashes, nausea, breast tenderness or abdominal pain, apart from vascular disturbances, may also be seen with high doses. I do not think you should be using some other form of pill once you are on Diane 35. You are amply protected if you are regular with your medication. Hope this helps.",PCOS,pcos
"Hi, may I answer your health queries right now ? Please type your query here...hi Im 18 and I have a question about pregnancy. my LMP was july 21st and I havent gotten my period since then. I have a lot of cramps like if my periods about to come but it doesnt. and sometimes my breasts hurt but for 5 seconds and then it goes away. also I feel like Im leaking from down there and I think its my period but its nothing. Ive also taken hpts several times but they all come back negative. also I get like a tingling sensation around my belly button. could I be pregnant?","Hello dear, I understand your concern. The first sign of pregnancy is missed period. And to confirm a urine pregnancy test need to be done a week after missed period for accurate results. The symptoms of pregnancy like nausea, vomitings, increased urination, sore breasts start 2 weeks after missed period. The fetal movements start around 5 months of pregnancy. The chance of pregnancy appears less with your symptoms but confirmation need to be done by urine pregnancy test. If the test is negative there is no chance of pregnancy. So relax. Avoid stress because stress also causes hormonal imbalance and delays the period. Best regards...",PCOS,hormonal imbalance
"Hello Doctor I am 29 year old, going through the fertility treatment. All Hormone test, thyroid test, PCOS test, all seems to be normal. Semen analysis of my husband also shows all normal. Doctor prescribed me 100mg clomid from day 2 to 6 day. but the follicle size is not at all growing, till day 18. after 18th day the follicle size starts growing all of sudden 3-4 mm a day. And on day 21st follicle size became 24mm, My doctor then injected me with injection (I dont remember the name) , but that was for ovulation to occur then on 23rd day I ovulated(As per sonography reports, one follicle from my right ovary got ruptured). for continuous 3 days i had relation, but still I got my period on day 32 of my mensuration cycle. My doctor is now prescribing me to go for IUI. My concern are","Hi, Thanks for your query. I read your query and I understand your concerns. Following is my reply",PCOS,pcos
"Dear Sir I,m problem with Premature Ejaculation within 5-10 Sec I finished my activities because I,m failed So whats I will do I have Diabetics & I will take metformin 850 two times a daily.So please tell to me whats kinds of Indian medicine I will take or whats treatment I already taken before therapy in before also.","Degree understand your concerns went through your details. Most of the premature ejaculation problems are due to anxiety and apprehension, and they are purely psychological. Diabetic induces some tiredness into the system and more anxiety. Most of the people affected with diabetics do complain premature ejaculation in the early stage, and it becomes alright itself later. I suggest you to consult a psychologist for counseling. If you require more of my help in this aspect, please use this URL. http",PCOS,metformin
"Good day Doctor,I am married since 7 years and facing problems in pregnancy. I was diagnosed with PCOD few years back. Now periods happen on time with medication. My endometrium is in proliferative phase. after AMH test result is 1.92 i.e. low fertility. My right fallopian tube is well outlined upto its fimbrial end and shows good peritoneal spillage. the left fallopian tube is not visualised beyond cornua. no obvious spill is noted on left side. i take the following medicines - Clomipure (50) - for ovulation, M2 tone 2tablets twice a day, Myotol F 1 tablet daily and ovigin D 1 tablet twice a day.","Hello. Thanks for writing to us. Since the AMH values are low, the chances of a spontaneous ovulation are low. In addition to the current treatment you need to go for ovulation studies to confirm if there is a successful ovulation after taking these medicines. I hope this information has been both informative and helpful for you. You can consult me again directly through my profile URL http",PCOS,pcod
"hello sir , m a 24 yr old girl and m suffering from hair loss since last 2 years, i went to doc and he suggested me minoxidil topical solution usp 5% along with kevon stay on lotion . i use th solution twice daily 1ml every time , since one week i have been using but no results found , even m lossing more hairs ..... and i have irregular menstruation problem too. so plz help me out frm tis problem.","Hello dear, Since you are giving history of hair fall with irregular menses, you will need a hormonal workup to rule out any hormonal imbalance. If it is found then you will need treatment for the same. Minoxidil increases hair fall initially as it causes the non growing hair to fall out and new hair to grow from the same hair root. You will have to continue with it and should see new hair growth in 3-4 months time.",PCOS,hormonal imbalance
"I have had the implanon for nearly 12months, past 2 months I have had a period every week, only for a few days, it is dark brown, clotty, and causes terrible cramps, I have also noticed my stomach has been bloated (never normally bloated and not changed diet in any way) I am a healthy size 8 so cant put it down to lifestyle. I have been off food, with a constant sick feeling, but terribly thirsty.","Hello, Implanon is quite effective against unwanted pregnancy and its failure rate near about 0.1%. Here, you need to undergo one TVS scan to exclude possible miscarriage. Other reasons are side effect of implant, hormonal imbalance, unnoticed uterine polyp/ fibroid, adenomyosis, DUB, pelvic infection etc. Following initial test, you need to consult with gynecologist for next investigation and suggestive medication. You may need to use other contraceptive method if implant causes that. Maintain genital hygiene. Take healthy diet with iron supplements. Be well.",PCOS,hormonal imbalance
"i suffer from abdominal pain,heaviness and tiredness in the body.when I sleep less my lower abdomen swells and face swells too.I also urinate excessively appox 18 times in a day when i slepp less .and on an average 12 times.i got my thyriod checked .it shows normal. I have polycystic ovary and hence irregular periods.My face looks tired all the time.I am under great mental stress too due to personal reasons.please help",Hi.First we have to find the reasons for polyuria (excessive urination). The probable causes can be,PCOS,"polycystic ovary, irregular periods"
"MY PROBLEM IS THAT ACNE,OILY SCLAP AND FACE,ABDOMINAL PAIN NEAR DATE OF MY MONTHLY CYCLE.BUT NOT CONCEIVE AFTER 1YR MARRIAGE.I HAD VDRL,THYROID,LHS,FHS,LH TVS ETC. ALL TYPE OF TEST BEFORE CONCEIVING.BUT ALL ARE NORMAL AND PCOS IS MILD, TVS TEST SOME LIQUID IS UNDER OVARY THATS IT NOTHING ELSE.I CANT UNDERSTAND WHAT IS THE REASON BEHIND INFERTILITY .","Hello, your Acne, abdominal pain near your menstruation could be symptoms of PCs. Fluids under ovary depends on the time of TVS done. If you had done the scan around your ovulation time, the fluid represents rupture of your follicle(egg), so there is nothing to worry. In case if the fluid persists throughout your cycle then I would suggest a complete check-up of your blood and hormones. But since you have been married for a year and with mild PCs, keep your monthly calendar on check, marking your ovulation (since PCs patient even mild, tend to ovulate at different times) and your post-ovulation till your menstruation time should be around 15-18 days. If its short or longer that could hamper your chances of pregnancy. All together start with a complete hormone check and your partners' sperm morphology, motility and count check.",PCOS,pcos
"Hi, I jus have a question I ve been off depo since August an I ve been having this brown discharge for about two months me an my partner had sex on nov.5 while I still had the brown discharge but then I started bleeding on the 19th so I thought it was my period but then it started to get light an it only lasted for 2 days an when I m on my period it last for 7 days so then I started looking up implantation bleeding on pregnancy an it said that it only last for 2 days an its a pinkish color when you wipe so when I wipe I get a pinkish color or nothing but I took 3 pregnancy test an they were negative so I was wondering if u can help","HI. The symptoms you are presenting with could also appear due to a hormonal imbalance that can occur after getting off the demo shot. This can occur in women until 6 months after getting off the shot, and can present with symptoms like inter-menstrual bleeding, spotting, weight gain, menstrual irregularities, etc. Although pregnancy should be adequately ruled out, especially if you are experiencing a delay in your period, visit a doctor for an ultrasound by the 6th week from your LMP, and confirm/rule out pregnancy. Best wishes.",PCOS,"hormonal imbalance, weight gain"
"Hi, I am TTC. Last I had periods on 1st March,2014. Doctor suggests to take GoodOva Tablet and also CB-Lin, Emrite-500, Thyronil Tablets. I taken Goodova tablet from 6th day of my periods(06th March, 2014). Doctor suggests to have a intercourse between 10th March,14 day to 20th March,14 as I might have ovulation only on those days. But I had my periods till 14th March,2014. After that, We had a regular intercourse till 20th March. I did home pregnancy test on 30th March. But Negative result. I have a few queries","Hi there, , If your period lasted from 1 to 14 March you have had a prolonged bleeding and might not have ovulated in this cycle. Yes, it is possible that some women do not respond to Good ova (Camphene), these could be due to Camphene resistance or improper use. If you have been diagnosed with PCs delayed periods and an ovulation are common, and it could be due to the same that you have not yet got your period. You need to get proper medication for PCs, Metformin 500 mg twice a day is advisable and can be continued even when you get pregnant. It is not advisable to take thyroid tablets unless you have a documented thyroid deficiency, it will not help you to take it randomly. Diet, exercise and Metformin will help you with the PCs. For ovulation induction with Camphene you need to take Camphene from day 2 to day 7 of the cycle and undergo follicular monitoring from day 9 of the cycle to track the ovulation.Also, Folic acid should be taken by any women trying to conceive. You could take Phaeton to get your period and start Camphene from day 2, after confirming with another pregnant test that you are definitely not pregnant. Hope this helps. Regards.",PCOS,metformin
I have a mild pcod I am planning for a baby for last one yr but I consult my gyno 2 months back then I come to know abt this .I am taking chrominac a ..should I able to conceive or not .my age is 32 I have a 5 yr old daughter that time I concevie naturally..,Hello dairy understand your concerned have mild PCs and pregnancy is possible after taking proper treatment. I would suggest taking treatment under the advice of the gynecologist. You can continue chroming as it decrease the insulin resistance. Along with that you can also ask the doctor,PCOS,"pcod, insulin resistance"
"which is good for me. i want preg as soon as possible 29yrs,pcod,irregular periods, taken three month course for pcod after that two months past doctor take USG but not found any major follicle in this. now she recommened another three month course with duloute -L and ebexid. what would you suggest? another doctor recommend ovulation induction drug i.e some clomipine type.?IS this safe for me i am confused .which doctor i had to follow? i want preg soon. if i choose induction drug method Is it solve my problem .otherwise one more month would be wasted.and then i have to follow three month course.",Hello Kyoto; Duolute-L is a hormonal pill and is given to you to make your periods regular and treat POD.POD is one of the cause of infertility because most of the time the ovulation is absent or does not take place and in such cases the doctor advises camphene to induce ovulation. So if your POD is treated and your periods have become regular then you can take camphene for induction of ovulation. So finish your course of Duo lute and discuss with your doctor regarding the use of camphene and take it under the guidance of your doctor. Thanks,PCOS,"pcod, irregular periods"
"i missed my periods since 2 months , i have PCOD, i tested negative for pregnancy , so doc suggested me to take trito n 5 mg tablet twice a day for 3 days , but i din get my periods , instaed i have been tested positive for pregnancy . nw i m 5 weeks 4days pregnant . i was 2weeks pregnant when i took the tablet , now i m worried whether that tablet will have effect on may baby . should i continue this pregnancy or terminate it .","Hello, I have gone through your query and understood the concern. Studies have shown that use of hormones during early stages of pregnancy can harm the fetus if it happens during the stage of organ differentiation, which happens at about 45 days of gestation, or 6 weeks gestation. Any hormone intake prior to this stage, as most often happens unknowingly, has not shown to be harmful. Thus, you are mostly safe since you took the medication very early in your pregnancy and that too, for a smaller period only. Yet, you should test for any possible fetal anomalies and the earliest way available is fetal DNA sampling. Hope this helps.",PCOS,pcod
my husbund have not seminal vas defference.but there are lots of sperm in his testis.so doctor called us for testtube baby.i have pcod.over 6th tretment was failed . in my second treatment i got 177 beta ChatDoctor level.but after two days my pregnancy missed.and my 5th cycle my beta ChatDoctor level was 22.but after 2 days report was negative .i want to know that am capable for concieve a pregnancy?how many percent?my period is regular,"Hi REMA, Since you said that your Periods are Regular, you will have very good chances, more than 50 % chances of Pregnancy even if you have PCs, since you will be ovulating regularly. The Problem arises if your Periods are Irregular. You said your Husband has no Vas deferens which may be its congenital absence. This condition is responsible for 1 percent to 2 percent of all infertility in men. In such cases, you may want to speak to your Doctor, your family and Opt for IVF. Good Luck.",PCOS,pcod
"hello i had unprotected sex on 8/5/10 and my period was due on 9/5/10 and i came on it as usual. however it was a bit lighter than usual and i was worried if i had become pregnant, although many say that if your period came as normal you are not pregnant, and it wasnt within the few days which im fertile. i am still at this stage really worried and stressed about it, my next period after that which began 10/6/10 and finished on 15/6/10 was to a bit light, but i wondered if that was because i have been stressing my self about it. i went to the clinic on 27/5/10 and my test came back negative, and the doctor said there was very little chance that i was pregnant and to wait to see if my next period came in which it did (luckily). i have been getting a few symptoms of pregnancy e.g. tiredness, stomach pain, constipation! although these symptoms can relate to stress and anxiety symptoms also! please please please help me, im worrying myself all too much till i know for certain","Hi, Thanks for your query. I understand your concern. - Sex one day before expected day of menses can not cause pregnancy provided the menstrual cycle is regular. Again in spite of all the pregnancy like symptoms, your pregnancy test was -ve... which is confirmatory. - Following two cycles were also in time. But somewhat lesser bleeding. The associated symptoms of fatigue/ constipation/stomach pain are signs of psychological stress & actually your menstrual stress can cause hormonal disturbance & scanty period -Hormonal imbalance due to thyroid problems/ ovarian problems POD fibroid uterus . Also cause problem like you. * Consultation of a gynecologist/ USG abdomen/ thyroid tests would find cause as well as satisfy you about absence of pregnancy. Thanks.",PCOS,hormonal imbalance
"My partner and i had sex on the 8th day of her cycle(26 day), the condom split and she took the morning after pill the next day, yesterday the day before her period was due she had an amount of light coloured bleeding but today there is no sign of her period. Does this mean she is likely to be pregnant, we are both teenagers and definately not trying to conceive, should we worry?Thankyou","Hello dear, I understand your concern. In my opinion there was no need of morning after pill as the 8th day of cycle comes under safe period. Safe period is that part of the menstrual cycle where there is no chance of pregnancy even with unprotected sex. But anyway as you have taken pill the chance of pregnancy is rare. And the pill causes hormonal imbalance leading to effect on timing and bleeding of the period. It might also cause irregular bleeding. So the bleeding might be due to pill effect. So relax. If the period doesntoccur even after 10-15 of expected period then do a urine pregnancy test and consult gynecologist. Over all the chances of pregnancy are very rare. Best regards...",PCOS,hormonal imbalance
"hello doctor ,I m 30 years old and doctor predicted that i have follicular ovarian cyst .Presently i am taking Metformin 500mg tablet(twice a day).Really i got stressed nowadays.I got married before 4 yrs.And after 1.5 yrs got one miscarriage also.Is that cyst is recoverable problem or not?Can i go for IVF?Can you pls suggest good gynaecologist in chennai.Thanks for your reply in advance","Hello could have been given metformin for PCs, high blood sugar. The cyst can be of 2 types. Either it's a single large cyst or polycystic ovaries. You need to thoroughly evaluated as to what the problem might be apart from the cyst.Accordingly, treatment is variable.IVF is the last resort. Before that there are other factors to consider.It's a lengthy process. You should consult a good ORGAN /fertility specialist. Try Apollo Hosp in Chennai.",PCOS,metformin
"Hi Doctor, I am 25 years old female. I am trying to conceive for last 2 years. I have PCOD problem. 10 months back i was pregnant with the help of ChatDoctor injection. But unfortunately it was got miscarried after 5 weeks. My doctor suggested me to take Duphaston 10mg tablet for day16-day25. My 2 cycles are over after taking this treatment(Feb 2017 & March 2017). But no luck yet. This is my 3rd cycle. I dont have anyother health issue. Is there any possibility to get conceive this month? Why it was not happening with last 2 months?","Hi, I think the main problem in pro patients is non ovulation. So, I think you should take some medicines like camphene for inducing ovulation and track your follicles' growth by repeated ultrasound and when follicle is more than 17 to 18 mm, take injection for rupture of follicles. Be in contact with your husband for 2 to 3 days after the injection. Take progesterone for next 2 weeks after rupture is confirmed on ultrasound Do a urine pregnancy test after that. You can try like that for 3 to 6 cycles. Also get a thyroid profile and prolactin level done. Talk to your doctor regarding this. Hope it helps.",PCOS,pcod
"I have been on Nuvaring for almost 6 years now and have never had any problems. My cycle is like clock work. I take my ring out, 4 days later I start my menstrual cycle and bleed for 4 days. Last month I was a few days late with my cycle but on the day that I was to reinsert my ring I started spotting. Took a home pregnancy test which was negative so I reinserted my ring. One week later, I got what I thought was my normal cycle. Now this past Wednesday when I was supposed to take out my ring I realized that it wasnt in. I dont exactly know when I lost it, but it is definately not in. Just wondering what my chances of pregnancy are and when I should insert a new ring since I dont know when my ring fell out. Any information you can give me would be helpful. Thanks!","Hi, In the current scenario, you have the risk of conception, so do not insert another ring until you exclude pregnancy. You can wait for your natural period to ensue and if it does not, please go ahead with a HPT 3-7 days later. Also, see your specialist for a local examination to see where the ring has gone. You may also need a trans-vaginal sonogram. Your recent menstrual history also suggests some hormone imbalance which needs to be looked into. Hope your query has been clarified. Take care.",PCOS,pcos
"hello, last year october i had about 4 weeks of heavy bleeding. took an ultrasound and it was discovered that i had cyst on my ovaries. my periods were always irregular but the longest id go without a period was two to three months. since getting the bleeding to stop last october i beefed up on vitamins- folic acid and b complex especially and also was taking a heavy dose of herbal medications. what concerns me now is that i havent seen my period since, yes ive had unprotected sex since that october in fact that november. now its a whole lot of months later and i want to know what are my chance of being pregnant. i did one of thoshad a e pregnancy calculator things and when asked to fill in my last period i did which was oct 26 2012 and it told me the day i might have conceived which was the exact date i had intercourse. im now experiencing naseau, indigestion, mood swings, weight gain, alot of sleeping and always tired, breast tenderness at times, what confuses me is that when i researched PCOS i read that it mimic pregnancy symptoms and i took a hpt which had a negative result but i know my body ive never missed a period for this long Could i be pregnant?","Hi, Thanks for the query. As you are having irregular periods it is difficult to guess the time of ovulation. So though you are having some symptoms of pregnancy just by them, we cannot confirm or rule out the pregnancy. As some other conditions as you told PCs etc. can present with this kind of symptoms. So you once consult gynecologist, get examined and go for ultrasound. By this the chance of pregnancy can be rule out and also the possible cause for your amenorrhea can be made out. For more details you can ask me through",PCOS,"pcos, irregular periods, weight gain"
hi My name is nikita and I m trying to conceive since 1 and half years. Once i got misscarrige before 2 year and now Me and my Husband done all the report. behind that. In my husband s report Low sperm count came near 50 million and sperm motality is 80%. And now my doctor started medicine for both of us. She recommended my husband for fertly M.[25mg] daily one at bed time and Provironum[25mg] at bed time. And for me OVA Shield and its come in 30 capsules pack. from 1 days of my period i have to start 2 tab for 5days in that 1 capsule contains 2.5mg letrozole and another is contains Astaxanthin 4 mg. After 5 days i have to take 1 capsule daily contain Astaxanthin 4mg. So i want to know what is the use of this. And how much is useful to me. When i have to take in the night or in the day after lunch. Waiting for prompt reply.,"Read your prob, as per your report your husband has normal sperm count, it should be more than 15 million. N active form should be 40% of total count. You should rule out cause of infertility by getting hormonal assay for gonadal n thyroid Mormon. As hormonal imbalance is cause of it. You should get sonography of uterus n follicular study. Consult with your doc, reach to cause of infertility n start proper treatment.",PCOS,hormonal imbalance
"Ok so Sep 25 I had unprotected sex with my bf i took plan b the morning after. Again at the beginning of oct (unprotected) but again took plan b the morning after. I got my period or what I thought was my period oct 9 on time. it seemed pretty normal. It ended about the 12th & the day after I experienced a really bad headache & severe nausea which ended with me vomiting multiple times. the day after that I encountered brown watery discharge like watery watery . So the day after that I took a pregnancy test& it came back negative. So I waited a week & throughout that week I experienced & am still experiencing symptoms (nausea dizziness headaches, horrible fatigue... etc.) I started to randomly get really tired and fall asleep randomly I have uncomfortable stomach pain and aches in my hips & lower back. I took another pregnancy test today and it is still negative. Could the plan b have not worked? & if I am pregnant am I testing too early? If not what else could this be?","Hello, Thanks for sharing your health concern with us. I have gone through the query and would like to offer some suggestions. Firstly, you do not need an emergency contraceptive if you have the intercourse during the safe period of your cycle. Ovulation occurs two weeks prior to the onset of the next period and this is the fertile phase of the cycle. Secondly, the high hormone content in the emergency contraceptive pill creates hormone imbalances and this is the most likely cause for your current symptoms. Since you have inconvenience, please get proper help from your health care provider. In the future, please restrict the use of the emergency contraceptive pill use for one or two occasions per year and go for regular contraception instead. Hope this helps.",PCOS,pcos
"hi i have been diagnosed with pco at the age off 14. My partner and i have spoken about trying for a family and we have been for a year im currently on a strick diet to help lose some weight and it is coming off slowley my thyroid medication has been increased as last blood test showed they were below average again quite a lot, is there any things else i can do and or take to help my chances to conceve.","Hello, Thanks for posting your query. It is good that you are already doing your part in maintaining a healthy lifestyle. This is a very important aspect in the treatment of hormone imbalances. Further, since you are trying to conceive, you should go through the proper protocol of investigation. This includes a complete hormone assay, sonogram of the pelvis preferably in the trans-vaginal route, blood counts, tubal patency tests and urinalysis. Evaluation of the male partner also is important. Further management can be planned accordingly. Hope this helps.",PCOS,pcos
"Hi, i am 28 years old female.... I am suffering from Polycystic ovarian Syndrome & bulky uterus....My thyroid level (TSH) now come down to 3.18 (from 7.2).. we are trying for a baby... but my periods are irregular.....(like last period i got on 4th July) till now i have not got my periods. My doctor suggested me to take Lupigest 200 orally for 5 days... Please let me know whether it will help me to regularise my monthly cycle... (I am since having this problem since from last 1 year)","Hi, It is good that your TSH levels are within normal limits. As part of the investigation, you should also get other hormone levels checked, glucose tolerance test performed and tubal patency tested. Lupines 200 will help you to attain your menstruation for this cycle. For regularization of cycles and regular ovulation to help you to conceive, you need specific treatment that is possible after complete evaluation. Please maintain a healthy weight, do some regular exercise and take a healthy diet. Hope this helps.",PCOS,pcos
