Question,Answer,Topic,Keywords,Style
Quick question for you: How can I care for myself during my period?,"Continue regular activities, including swimming with the right products.
Use a hot water bottle or pain-relief medication for pain.
Keep a 'period kit' for unexpected starts.",Menstruation,"self-care, pain relief, period kit",layperson
"I don't usually talk about this stuff, but I need some advice. How can I care for myself during my period?","Continue regular activities, including swimming with the right products.
Use a hot water bottle or pain-relief medication for pain.
Keep a 'period kit' for unexpected starts.",Menstruation,"self-care, pain relief, period kit",indirect_cultural
How can I care for myself during my period? I'm not really sure how to explain it exactly.,"Continue regular activities, including swimming with the right products.
Use a hot water bottle or pain-relief medication for pain.
Keep a 'period kit' for unexpected starts.",Menstruation,"self-care, pain relief, period kit",ambiguous
"I'm quite anxious about this, please help me understand. How can I care for myself during my period?","Continue regular activities, including swimming with the right products.
Use a hot water bottle or pain-relief medication for pain.
Keep a 'period kit' for unexpected starts.",Menstruation,"self-care, pain relief, period kit",emotionally_concerned
My period lasts 10 days. Should I worry?,Periods longer than 7 days might indicate an underlying issue. It's best to consult a doctor for guidance.,Menstruation,"period, long duration, doctor consultation",canonical
Patient presents with the following concern: My period lasts 10 days. Should I worry?,Periods longer than 7 days might indicate an underlying issue. It's best to consult a doctor for guidance.,Menstruation,"period, long duration, doctor consultation",clinical
I wanted to check something: My period lasts 10 days. Should I worry?,Periods longer than 7 days might indicate an underlying issue. It's best to consult a doctor for guidance.,Menstruation,"period, long duration, doctor consultation",layperson
"It's hard for me to put this into words, but I'll try. My period lasts 10 days. Should I worry?",Periods longer than 7 days might indicate an underlying issue. It's best to consult a doctor for guidance.,Menstruation,"period, long duration, doctor consultation",indirect_cultural
something lasts 10 days. I'm not really sure how to explain it exactly.,Periods longer than 7 days might indicate an underlying issue. It's best to consult a doctor for guidance.,Menstruation,"period, long duration, doctor consultation",ambiguous
I've been really stressed about this and need some reassurance. My period lasts 10 days. Should I worry?,Periods longer than 7 days might indicate an underlying issue. It's best to consult a doctor for guidance.,Menstruation,"period, long duration, doctor consultation",emotionally_concerned
What is ovulation?,Ovulation is when an egg is released from the ovary. This is when pregnancy can occur if the egg is fertilized by sperm.,Menstruation,"egg, release, pregnancy",canonical
Patient presents with the following concern: What is ovulation?,Ovulation is when an egg is released from the ovary. This is when pregnancy can occur if the egg is fertilized by sperm.,Menstruation,"egg, release, pregnancy",clinical
So here's my question: What is ovulation?,Ovulation is when an egg is released from the ovary. This is when pregnancy can occur if the egg is fertilized by sperm.,Menstruation,"egg, release, pregnancy",layperson
"I'm not really comfortable talking about this kind of thing, but I have to ask. What is ovulation?",Ovulation is when an egg is released from the ovary. This is when pregnancy can occur if the egg is fertilized by sperm.,Menstruation,"egg, release, pregnancy",indirect_cultural
What is ovulation? I'm not really sure how to explain it exactly.,Ovulation is when an egg is released from the ovary. This is when pregnancy can occur if the egg is fertilized by sperm.,Menstruation,"egg, release, pregnancy",ambiguous
I'm really worried about this and can't stop thinking about it. What is ovulation?,Ovulation is when an egg is released from the ovary. This is when pregnancy can occur if the egg is fertilized by sperm.,Menstruation,"egg, release, pregnancy",emotionally_concerned
Are there any signs to know when I'm ovulating?,Some women experience cervical mucus changes (becomes slippery and clear) or mild cramping on one side of the lower abdomen during ovulation.,Menstruation,"cervical mucus, cramping",canonical
Patient presents with the following concern: Are there any signs to know when I'm ovulating?,Some women experience cervical mucus changes (becomes slippery and clear) or mild cramping on one side of the lower abdomen during ovulation.,Menstruation,"cervical mucus, cramping",clinical
Just wanted to ask something: Are there any signs to know when I'm ovulating?,Some women experience cervical mucus changes (becomes slippery and clear) or mild cramping on one side of the lower abdomen during ovulation.,Menstruation,"cervical mucus, cramping",layperson
"This is a bit awkward for me to bring up, but here goes. Are there any signs to know when I'm ovulating?",Some women experience cervical mucus changes (becomes slippery and clear) or mild cramping on one side of the lower abdomen during ovulation.,Menstruation,"cervical mucus, cramping",indirect_cultural
Are there any signs to know when I'm ovulating? I'm not really sure how to explain it exactly.,Some women experience cervical mucus changes (becomes slippery and clear) or mild cramping on one side of the lower abdomen during ovulation.,Menstruation,"cervical mucus, cramping",ambiguous
This is scaring me a lot and I need to know what's going on. Are there any signs to know when I'm ovulating?,Some women experience cervical mucus changes (becomes slippery and clear) or mild cramping on one side of the lower abdomen during ovulation.,Menstruation,"cervical mucus, cramping",emotionally_concerned
"What is ovulation, and when am I most likely to get pregnant?","Ovulation is when an egg is released from the ovary. You're most likely to get pregnant if you have sex without birth control around the time of ovulation, especially in the three days before and up to the day it happens. Look out for changes in vaginal mucus and minor cramping as signs of ovulation.",Menstruation,"ovulation, pregnancy, fertile window",canonical
"Patient presents with the following concern: What is ovulation, and when am I most likely to get pregnant?","Ovulation is when an egg is released from the ovary. You're most likely to get pregnant if you have sex without birth control around the time of ovulation, especially in the three days before and up to the day it happens. Look out for changes in vaginal mucus and minor cramping as signs of ovulation.",Menstruation,"ovulation, pregnancy, fertile window",clinical
"Quick question for you: What is ovulation, and when am I most likely to get pregnant?","Ovulation is when an egg is released from the ovary. You're most likely to get pregnant if you have sex without birth control around the time of ovulation, especially in the three days before and up to the day it happens. Look out for changes in vaginal mucus and minor cramping as signs of ovulation.",Menstruation,"ovulation, pregnancy, fertile window",layperson
"I don't usually talk about this stuff, but I need some advice. What is ovulation, and when am I most likely to get pregnant?","Ovulation is when an egg is released from the ovary. You're most likely to get pregnant if you have sex without birth control around the time of ovulation, especially in the three days before and up to the day it happens. Look out for changes in vaginal mucus and minor cramping as signs of ovulation.",Menstruation,"ovulation, pregnancy, fertile window",indirect_cultural
"What is something, and when am I most likely to get pregnant? I'm not really sure how to explain it exactly.","Ovulation is when an egg is released from the ovary. You're most likely to get pregnant if you have sex without birth control around the time of ovulation, especially in the three days before and up to the day it happens. Look out for changes in vaginal mucus and minor cramping as signs of ovulation.",Menstruation,"ovulation, pregnancy, fertile window",ambiguous
"I'm quite anxious about this, please help me understand. What is ovulation, and when am I most likely to get pregnant?","Ovulation is when an egg is released from the ovary. You're most likely to get pregnant if you have sex without birth control around the time of ovulation, especially in the three days before and up to the day it happens. Look out for changes in vaginal mucus and minor cramping as signs of ovulation.",Menstruation,"ovulation, pregnancy, fertile window",emotionally_concerned
What happens during the first menstrual period?,"The first menstrual period, also known as menarche, usually occurs between the ages of 8 and 15, with an average age of 12. It marks the beginning of the menstrual cycle and typically occurs about two years after the onset of breast and pubic hair development.",Menstruation,"Menarche, Adolescents, Puberty",canonical
Patient presents with the following concern: What happens during the first menstrual period?,"The first menstrual period, also known as menarche, usually occurs between the ages of 8 and 15, with an average age of 12. It marks the beginning of the menstrual cycle and typically occurs about two years after the onset of breast and pubic hair development.",Menstruation,"Menarche, Adolescents, Puberty",clinical
I wanted to check something: What happens during the first menstrual period?,"The first menstrual period, also known as menarche, usually occurs between the ages of 8 and 15, with an average age of 12. It marks the beginning of the menstrual cycle and typically occurs about two years after the onset of breast and pubic hair development.",Menstruation,"Menarche, Adolescents, Puberty",layperson
"It's hard for me to put this into words, but I'll try. What happens during the first menstrual period?","The first menstrual period, also known as menarche, usually occurs between the ages of 8 and 15, with an average age of 12. It marks the beginning of the menstrual cycle and typically occurs about two years after the onset of breast and pubic hair development.",Menstruation,"Menarche, Adolescents, Puberty",indirect_cultural
What happens during the first menstrual period? I'm not really sure how to explain it exactly.,"The first menstrual period, also known as menarche, usually occurs between the ages of 8 and 15, with an average age of 12. It marks the beginning of the menstrual cycle and typically occurs about two years after the onset of breast and pubic hair development.",Menstruation,"Menarche, Adolescents, Puberty",ambiguous
I've been really stressed about this and need some reassurance. What happens during the first menstrual period?,"The first menstrual period, also known as menarche, usually occurs between the ages of 8 and 15, with an average age of 12. It marks the beginning of the menstrual cycle and typically occurs about two years after the onset of breast and pubic hair development.",Menstruation,"Menarche, Adolescents, Puberty",emotionally_concerned
What is the first period called?,"The first time you experience bleeding from your vagina is called menarche. It marks the beginning of puberty and usually happens between 9 and 16 years old, but it can vary for everyone. It's like your body's way of saying you're growing up and becoming capable of getting pregnant.",Menstruation,"first period, menarche",canonical
Patient presents with the following concern: What is the first period called?,"The first time you experience bleeding from your vagina is called menarche. It marks the beginning of puberty and usually happens between 9 and 16 years old, but it can vary for everyone. It's like your body's way of saying you're growing up and becoming capable of getting pregnant.",Menstruation,"first period, menarche",clinical
So here's my question: What is the first period called?,"The first time you experience bleeding from your vagina is called menarche. It marks the beginning of puberty and usually happens between 9 and 16 years old, but it can vary for everyone. It's like your body's way of saying you're growing up and becoming capable of getting pregnant.",Menstruation,"first period, menarche",layperson
"I'm not really comfortable talking about this kind of thing, but I have to ask. What is the first period called?","The first time you experience bleeding from your vagina is called menarche. It marks the beginning of puberty and usually happens between 9 and 16 years old, but it can vary for everyone. It's like your body's way of saying you're growing up and becoming capable of getting pregnant.",Menstruation,"first period, menarche",indirect_cultural
What is something called? I'm not really sure how to explain it exactly.,"The first time you experience bleeding from your vagina is called menarche. It marks the beginning of puberty and usually happens between 9 and 16 years old, but it can vary for everyone. It's like your body's way of saying you're growing up and becoming capable of getting pregnant.",Menstruation,"first period, menarche",ambiguous
I'm really worried about this and can't stop thinking about it. What is the first period called?,"The first time you experience bleeding from your vagina is called menarche. It marks the beginning of puberty and usually happens between 9 and 16 years old, but it can vary for everyone. It's like your body's way of saying you're growing up and becoming capable of getting pregnant.",Menstruation,"first period, menarche",emotionally_concerned
What should I know about menstruation as a girl living in a rural area?,"Menstruation is a normal part of every woman's life, and there's no reason to feel ashamed or embarrassed.
There's no impurity or pollution associated with menstruation.
Menstruation shouldn't stop you from doing your daily activities.
Practices like staying away from school during your period should be discouraged.",Menstruation,"menstruation, cultural practices, menstrual hygiene",canonical
Patient presents with the following concern: What should I know about menstruation as a girl living in a rural area?,"Menstruation is a normal part of every woman's life, and there's no reason to feel ashamed or embarrassed.
There's no impurity or pollution associated with menstruation.
Menstruation shouldn't stop you from doing your daily activities.
Practices like staying away from school during your period should be discouraged.",Menstruation,"menstruation, cultural practices, menstrual hygiene",clinical
Just wanted to ask something: What should I know about menstruation as a girl living in a rural area?,"Menstruation is a normal part of every woman's life, and there's no reason to feel ashamed or embarrassed.
There's no impurity or pollution associated with menstruation.
Menstruation shouldn't stop you from doing your daily activities.
Practices like staying away from school during your period should be discouraged.",Menstruation,"menstruation, cultural practices, menstrual hygiene",layperson
"This is a bit awkward for me to bring up, but here goes. What should I know about menstruation as a girl living in a rural area?","Menstruation is a normal part of every woman's life, and there's no reason to feel ashamed or embarrassed.
There's no impurity or pollution associated with menstruation.
Menstruation shouldn't stop you from doing your daily activities.
Practices like staying away from school during your period should be discouraged.",Menstruation,"menstruation, cultural practices, menstrual hygiene",indirect_cultural
What should I know about something as a girl living in a rural area? I'm not really sure how to explain it exactly.,"Menstruation is a normal part of every woman's life, and there's no reason to feel ashamed or embarrassed.
There's no impurity or pollution associated with menstruation.
Menstruation shouldn't stop you from doing your daily activities.
Practices like staying away from school during your period should be discouraged.",Menstruation,"menstruation, cultural practices, menstrual hygiene",ambiguous
This is scaring me a lot and I need to know what's going on. What should I know about menstruation as a girl living in a rural area?,"Menstruation is a normal part of every woman's life, and there's no reason to feel ashamed or embarrassed.
There's no impurity or pollution associated with menstruation.
Menstruation shouldn't stop you from doing your daily activities.
Practices like staying away from school during your period should be discouraged.",Menstruation,"menstruation, cultural practices, menstrual hygiene",emotionally_concerned
What is menstruation?,"Menstruation is a natural part of being a woman. It's like your body's monthly cleaning process. Every month, the lining inside your uterus (womb) gets thicker. If you don't get pregnant, this lining sheds and comes out as blood through your vagina. This usually lasts for 2-7 days.",Menstruation,"Period, cycle",canonical
Patient presents with the following concern: What is menstruation?,"Menstruation is a natural part of being a woman. It's like your body's monthly cleaning process. Every month, the lining inside your uterus (womb) gets thicker. If you don't get pregnant, this lining sheds and comes out as blood through your vagina. This usually lasts for 2-7 days.",Menstruation,"Period, cycle",clinical
Quick question for you: What is menstruation?,"Menstruation is a natural part of being a woman. It's like your body's monthly cleaning process. Every month, the lining inside your uterus (womb) gets thicker. If you don't get pregnant, this lining sheds and comes out as blood through your vagina. This usually lasts for 2-7 days.",Menstruation,"Period, cycle",layperson
"I don't usually talk about this stuff, but I need some advice. What is menstruation?","Menstruation is a natural part of being a woman. It's like your body's monthly cleaning process. Every month, the lining inside your uterus (womb) gets thicker. If you don't get pregnant, this lining sheds and comes out as blood through your vagina. This usually lasts for 2-7 days.",Menstruation,"Period, cycle",indirect_cultural
What is something? I'm not really sure how to explain it exactly.,"Menstruation is a natural part of being a woman. It's like your body's monthly cleaning process. Every month, the lining inside your uterus (womb) gets thicker. If you don't get pregnant, this lining sheds and comes out as blood through your vagina. This usually lasts for 2-7 days.",Menstruation,"Period, cycle",ambiguous
"I'm quite anxious about this, please help me understand. What is menstruation?","Menstruation is a natural part of being a woman. It's like your body's monthly cleaning process. Every month, the lining inside your uterus (womb) gets thicker. If you don't get pregnant, this lining sheds and comes out as blood through your vagina. This usually lasts for 2-7 days.",Menstruation,"Period, cycle",emotionally_concerned
Why is menstruation important?,Menstruation is a sign that your body is growing up and getting ready for pregnancy. It's a normal and healthy part of life for most women.,Menstruation,"Womanhood, growing up, periods",canonical
Patient presents with the following concern: Why is menstruation important?,Menstruation is a sign that your body is growing up and getting ready for pregnancy. It's a normal and healthy part of life for most women.,Menstruation,"Womanhood, growing up, periods",clinical
I wanted to check something: Why is menstruation important?,Menstruation is a sign that your body is growing up and getting ready for pregnancy. It's a normal and healthy part of life for most women.,Menstruation,"Womanhood, growing up, periods",layperson
"It's hard for me to put this into words, but I'll try. Why is menstruation important?",Menstruation is a sign that your body is growing up and getting ready for pregnancy. It's a normal and healthy part of life for most women.,Menstruation,"Womanhood, growing up, periods",indirect_cultural
Why is something important? I'm not really sure how to explain it exactly.,Menstruation is a sign that your body is growing up and getting ready for pregnancy. It's a normal and healthy part of life for most women.,Menstruation,"Womanhood, growing up, periods",ambiguous
I've been really stressed about this and need some reassurance. Why is menstruation important?,Menstruation is a sign that your body is growing up and getting ready for pregnancy. It's a normal and healthy part of life for most women.,Menstruation,"Womanhood, growing up, periods",emotionally_concerned
Is it okay to feel scared or confused about menstruation?,"Yes, it's completely normal to feel scared or confused about menstruation, especially if it's your first time. It's a new experience, and you might have questions. Don't hesitate to talk to your mother, sister, or a trusted adult about your concerns.",Menstruation,"Feelings , normal, menarche",canonical
Patient presents with the following concern: Is it okay to feel scared or confused about menstruation?,"Yes, it's completely normal to feel scared or confused about menstruation, especially if it's your first time. It's a new experience, and you might have questions. Don't hesitate to talk to your mother, sister, or a trusted adult about your concerns.",Menstruation,"Feelings , normal, menarche",clinical
So here's my question: Is it okay to feel scared or confused about menstruation?,"Yes, it's completely normal to feel scared or confused about menstruation, especially if it's your first time. It's a new experience, and you might have questions. Don't hesitate to talk to your mother, sister, or a trusted adult about your concerns.",Menstruation,"Feelings , normal, menarche",layperson
"I'm not really comfortable talking about this kind of thing, but I have to ask. Is it okay to feel scared or confused about menstruation?","Yes, it's completely normal to feel scared or confused about menstruation, especially if it's your first time. It's a new experience, and you might have questions. Don't hesitate to talk to your mother, sister, or a trusted adult about your concerns.",Menstruation,"Feelings , normal, menarche",indirect_cultural
Is it okay to feel scared or confused about something? I'm not really sure how to explain it exactly.,"Yes, it's completely normal to feel scared or confused about menstruation, especially if it's your first time. It's a new experience, and you might have questions. Don't hesitate to talk to your mother, sister, or a trusted adult about your concerns.",Menstruation,"Feelings , normal, menarche",ambiguous
I'm really worried about this and can't stop thinking about it. Is it okay to feel scared or confused about menstruation?,"Yes, it's completely normal to feel scared or confused about menstruation, especially if it's your first time. It's a new experience, and you might have questions. Don't hesitate to talk to your mother, sister, or a trusted adult about your concerns.",Menstruation,"Feelings , normal, menarche",emotionally_concerned
How long does a period usually last?,"Most periods last for 2 to 7 days. However, it can be shorter or longer for some women, and that's still okay.",Menstruation,"Bleeding, days",canonical
Patient presents with the following concern: How long does a period usually last?,"Most periods last for 2 to 7 days. However, it can be shorter or longer for some women, and that's still okay.",Menstruation,"Bleeding, days",clinical
Just wanted to ask something: How long does a period usually last?,"Most periods last for 2 to 7 days. However, it can be shorter or longer for some women, and that's still okay.",Menstruation,"Bleeding, days",layperson
"This is a bit awkward for me to bring up, but here goes. How long does a period usually last?","Most periods last for 2 to 7 days. However, it can be shorter or longer for some women, and that's still okay.",Menstruation,"Bleeding, days",indirect_cultural
How long does a period usually last? I'm not really sure how to explain it exactly.,"Most periods last for 2 to 7 days. However, it can be shorter or longer for some women, and that's still okay.",Menstruation,"Bleeding, days",ambiguous
This is scaring me a lot and I need to know what's going on. How long does a period usually last?,"Most periods last for 2 to 7 days. However, it can be shorter or longer for some women, and that's still okay.",Menstruation,"Bleeding, days",emotionally_concerned
What are some signs that my first period is coming?,"You might experience some changes in your body before your first period, like breast development, mood swings, or cramps in your belly. You might also notice a small amount of blood in your underwear (spotting).",Menstruation,"First period, spotting",canonical
Patient presents with the following concern: What are some signs that my first period is coming?,"You might experience some changes in your body before your first period, like breast development, mood swings, or cramps in your belly. You might also notice a small amount of blood in your underwear (spotting).",Menstruation,"First period, spotting",clinical
Quick question for you: What are some signs that my first period is coming?,"You might experience some changes in your body before your first period, like breast development, mood swings, or cramps in your belly. You might also notice a small amount of blood in your underwear (spotting).",Menstruation,"First period, spotting",layperson
"I don't usually talk about this stuff, but I need some advice. What are some signs that my first period is coming?","You might experience some changes in your body before your first period, like breast development, mood swings, or cramps in your belly. You might also notice a small amount of blood in your underwear (spotting).",Menstruation,"First period, spotting",indirect_cultural
What are some signs that something is coming? I'm not really sure how to explain it exactly.,"You might experience some changes in your body before your first period, like breast development, mood swings, or cramps in your belly. You might also notice a small amount of blood in your underwear (spotting).",Menstruation,"First period, spotting",ambiguous
"I'm quite anxious about this, please help me understand. What are some signs that my first period is coming?","You might experience some changes in your body before your first period, like breast development, mood swings, or cramps in your belly. You might also notice a small amount of blood in your underwear (spotting).",Menstruation,"First period, spotting",emotionally_concerned
What should I do when I get my period?,"When you get your period, you can use a sanitary pad to collect the blood. Change your pad whenever it feels full or uncomfortable. It's important to wash your hands before and after changing your pad and to keep yourself clean.",Menstruation,"Pad, cleanliness, first period",canonical
Patient presents with the following concern: What should I do when I get my period?,"When you get your period, you can use a sanitary pad to collect the blood. Change your pad whenever it feels full or uncomfortable. It's important to wash your hands before and after changing your pad and to keep yourself clean.",Menstruation,"Pad, cleanliness, first period",clinical
I wanted to check something: What should I do when I get my period?,"When you get your period, you can use a sanitary pad to collect the blood. Change your pad whenever it feels full or uncomfortable. It's important to wash your hands before and after changing your pad and to keep yourself clean.",Menstruation,"Pad, cleanliness, first period",layperson
"It's hard for me to put this into words, but I'll try. What should I do when I get my period?","When you get your period, you can use a sanitary pad to collect the blood. Change your pad whenever it feels full or uncomfortable. It's important to wash your hands before and after changing your pad and to keep yourself clean.",Menstruation,"Pad, cleanliness, first period",indirect_cultural
What should I do when I get my period? I'm not really sure how to explain it exactly.,"When you get your period, you can use a sanitary pad to collect the blood. Change your pad whenever it feels full or uncomfortable. It's important to wash your hands before and after changing your pad and to keep yourself clean.",Menstruation,"Pad, cleanliness, first period",ambiguous
I've been really stressed about this and need some reassurance. What should I do when I get my period?,"When you get your period, you can use a sanitary pad to collect the blood. Change your pad whenever it feels full or uncomfortable. It's important to wash your hands before and after changing your pad and to keep yourself clean.",Menstruation,"Pad, cleanliness, first period",emotionally_concerned
Is it normal to bleed every month?,"Yes, bleeding every month is a normal part of being a girl/woman. It's your body's way of getting ready for pregnancy.",Menstruation,"normal, body function",canonical
Patient presents with the following concern: Is it normal to bleed every month?,"Yes, bleeding every month is a normal part of being a girl/woman. It's your body's way of getting ready for pregnancy.",Menstruation,"normal, body function",clinical
So here's my question: Is it normal to bleed every month?,"Yes, bleeding every month is a normal part of being a girl/woman. It's your body's way of getting ready for pregnancy.",Menstruation,"normal, body function",layperson
"I'm not really comfortable talking about this kind of thing, but I have to ask. Is it normal to bleed every month?","Yes, bleeding every month is a normal part of being a girl/woman. It's your body's way of getting ready for pregnancy.",Menstruation,"normal, body function",indirect_cultural
Is it something to bleed every month? I'm not really sure how to explain it exactly.,"Yes, bleeding every month is a normal part of being a girl/woman. It's your body's way of getting ready for pregnancy.",Menstruation,"normal, body function",ambiguous
I'm really worried about this and can't stop thinking about it. Is it normal to bleed every month?,"Yes, bleeding every month is a normal part of being a girl/woman. It's your body's way of getting ready for pregnancy.",Menstruation,"normal, body function",emotionally_concerned
I can't afford sanitary pads every month. What can I do?,"There are some options:
Look for self-help groups or NGOs in your area. They might provide low-cost pads.
You can try making reusable cloth pads at home.
Talk to your local health worker; they might have resources to help.",Menstruation,"Pads, cost, access",canonical
Patient presents with the following concern: I can't afford sanitary pads every month. What can I do?,"There are some options:
Look for self-help groups or NGOs in your area. They might provide low-cost pads.
You can try making reusable cloth pads at home.
Talk to your local health worker; they might have resources to help.",Menstruation,"Pads, cost, access",clinical
Just wanted to ask something: I can't afford sanitary pads every month. What can I do?,"There are some options:
Look for self-help groups or NGOs in your area. They might provide low-cost pads.
You can try making reusable cloth pads at home.
Talk to your local health worker; they might have resources to help.",Menstruation,"Pads, cost, access",layperson
"This is a bit awkward for me to bring up, but here goes. I can't afford sanitary pads every month. What can I do?","There are some options:
Look for self-help groups or NGOs in your area. They might provide low-cost pads.
You can try making reusable cloth pads at home.
Talk to your local health worker; they might have resources to help.",Menstruation,"Pads, cost, access",indirect_cultural
I can't afford sanitary something every month. I'm not really sure how to explain it exactly.,"There are some options:
Look for self-help groups or NGOs in your area. They might provide low-cost pads.
You can try making reusable cloth pads at home.
Talk to your local health worker; they might have resources to help.",Menstruation,"Pads, cost, access",ambiguous
This is scaring me a lot and I need to know what's going on. I can't afford sanitary pads every month. What can I do?,"There are some options:
Look for self-help groups or NGOs in your area. They might provide low-cost pads.
You can try making reusable cloth pads at home.
Talk to your local health worker; they might have resources to help.",Menstruation,"Pads, cost, access",emotionally_concerned
My stomach hurts really bad during my period. Is that normal?,It's common to have cramps or pain in your belly during your period. You can try using a hot water bottle or taking a pain reliever to feel better.,Menstruation,"cramps, pain",canonical
Patient presents with the following concern: My stomach hurts really bad during my period. Is that normal?,It's common to have cramps or pain in your belly during your period. You can try using a hot water bottle or taking a pain reliever to feel better.,Menstruation,"cramps, pain",clinical
Quick question for you: My stomach hurts really bad during my period. Is that normal?,It's common to have cramps or pain in your belly during your period. You can try using a hot water bottle or taking a pain reliever to feel better.,Menstruation,"cramps, pain",layperson
"I don't usually talk about this stuff, but I need some advice. My stomach hurts really bad during my period. Is that normal?",It's common to have cramps or pain in your belly during your period. You can try using a hot water bottle or taking a pain reliever to feel better.,Menstruation,"cramps, pain",indirect_cultural
My stomach hurts really bad during my period. I'm not really sure how to explain it exactly.,It's common to have cramps or pain in your belly during your period. You can try using a hot water bottle or taking a pain reliever to feel better.,Menstruation,"cramps, pain",ambiguous
"I'm quite anxious about this, please help me understand. My stomach hurts really bad during my period. Is that normal?",It's common to have cramps or pain in your belly during your period. You can try using a hot water bottle or taking a pain reliever to feel better.,Menstruation,"cramps, pain",emotionally_concerned
I'm a mother of a young girl who will soon start her periods. How can I support her during this time?,"As a mother, you can support your daughter by having open conversations about menstruation, providing her with menstrual hygiene products, and educating her about proper hygiene practices. Offer emotional support and reassurance, and encourage her to ask questions or seek help when needed.",Menstruation,"Parental support, first period",canonical
Patient presents with the following concern: I'm a mother of a young girl who will soon start her periods. How can I support her during this time?,"As a mother, you can support your daughter by having open conversations about menstruation, providing her with menstrual hygiene products, and educating her about proper hygiene practices. Offer emotional support and reassurance, and encourage her to ask questions or seek help when needed.",Menstruation,"Parental support, first period",clinical
I wanted to check something: I'm a mother of a young girl who will soon start her periods. How can I support her during this time?,"As a mother, you can support your daughter by having open conversations about menstruation, providing her with menstrual hygiene products, and educating her about proper hygiene practices. Offer emotional support and reassurance, and encourage her to ask questions or seek help when needed.",Menstruation,"Parental support, first period",layperson
"It's hard for me to put this into words, but I'll try. I'm a mother of a young girl who will soon start her periods. How can I support her during this time?","As a mother, you can support your daughter by having open conversations about menstruation, providing her with menstrual hygiene products, and educating her about proper hygiene practices. Offer emotional support and reassurance, and encourage her to ask questions or seek help when needed.",Menstruation,"Parental support, first period",indirect_cultural
I'm a mother of a young girl who will soon start her periods. I'm not really sure how to explain it exactly.,"As a mother, you can support your daughter by having open conversations about menstruation, providing her with menstrual hygiene products, and educating her about proper hygiene practices. Offer emotional support and reassurance, and encourage her to ask questions or seek help when needed.",Menstruation,"Parental support, first period",ambiguous
I've been really stressed about this and need some reassurance. I'm a mother of a young girl who will soon start her periods. How can I support her during this time?,"As a mother, you can support your daughter by having open conversations about menstruation, providing her with menstrual hygiene products, and educating her about proper hygiene practices. Offer emotional support and reassurance, and encourage her to ask questions or seek help when needed.",Menstruation,"Parental support, first period",emotionally_concerned
