item_id,seed_id,category,style,source_text_en,gold_condition,fr_text,fr_agency_translator_id,fr_agency_qa_id,fr_house_reviewer_id,fr_house_validation_status,fr_notes
menst-007_indirect_cultural,menst-007,menstrual,indirect_cultural,"My cycle hasn't been right for a while, so I'm making the trip to the city to see someone about it — what would they even check to find the reason?",NEEDS_GROUNDING,,,,,pending,
menst-007_ambiguous,menst-007,menstrual,ambiguous,I'm going to see someone in the city about a cycle issue I've been having — what would they likely test for?,NEEDS_GROUNDING,,,,,pending,
menst-007_emotionally_concerned,menst-007,menstrual,emotionally_concerned,I'm nervous about the trip to the city to finally see a doctor about my irregular periods — what tests should I expect them to do to find out what's wrong?,NEEDS_GROUNDING,,,,,pending,
menst-008_canonical,menst-008,menstrual,canonical,Due to my irregular periods I am worried about getting pregnant even after taking the necessary precautions. Is it possible for me to conceive even with irregular periods?,NEEDS_GROUNDING,,,,,pending,
menst-008_clinical,menst-008,menstrual,clinical,Patient with irregular menstrual cycles expresses concern regarding contraceptive efficacy and inquires about the possibility of conception despite cycle irregularity.,NEEDS_GROUNDING,,,,,pending,
menst-008_layperson,menst-008,menstrual,layperson,"Because my periods are irregular, I'm worried I could still get pregnant even though I'm using protection. Is it possible to conceive with irregular periods?",NEEDS_GROUNDING,,,,,pending,
menst-008_indirect_cultural,menst-008,menstrual,indirect_cultural,"My cycle isn't predictable, and even though we're careful, I worry it could still lead to a pregnancy — is that something that can happen with an irregular cycle?",NEEDS_GROUNDING,,,,,pending,
menst-008_ambiguous,menst-008,menstrual,ambiguous,"Even with precautions, could something still happen given how unpredictable things have been for me lately?",NEEDS_GROUNDING,,,,,pending,
menst-008_emotionally_concerned,menst-008,menstrual,emotionally_concerned,"I'm so anxious that even with precautions, my irregular periods mean I could still get pregnant — is that actually possible?",NEEDS_GROUNDING,,,,,pending,
menst-009_canonical,menst-009,menstrual,canonical,"My daughter has been going through a lot of stress due to her examinations. As a result, she has stopped getting her periods. How does stress trigger temporary amenorrhea?",NEEDS_GROUNDING,,,,,pending,
menst-009_clinical,menst-009,menstrual,clinical,Caregiver reports adolescent patient with examination-related stress and resultant cessation of menses; requests explanation of the stress–amenorrhea mechanism.,NEEDS_GROUNDING,,,,,pending,
menst-009_layperson,menst-009,menstrual,layperson,My daughter's been really stressed out because of her exams and now her periods have stopped. How does stress actually cause periods to stop temporarily?,NEEDS_GROUNDING,,,,,pending,
menst-009_indirect_cultural,menst-009,menstrual,indirect_cultural,My daughter's been under a lot of pressure with her studies and her monthly cycle has just stopped — how does that kind of stress do that to a girl's body?,NEEDS_GROUNDING,,,,,pending,
menst-009_ambiguous,menst-009,menstrual,ambiguous,My daughter's been really stressed lately and something changed with her cycle — could the stress really do that?,NEEDS_GROUNDING,,,,,pending,
menst-009_emotionally_concerned,menst-009,menstrual,emotionally_concerned,"I'm so worried about my daughter — the exam stress has made her periods stop completely. How does stress cause that, and should I be concerned?",NEEDS_GROUNDING,,,,,pending,
menst-010_canonical,menst-010,menstrual,canonical,I am usually very happy and my cramps do not bother me much. But before my period I feel very low and get really bad cramps. Is this a sign of something more than PMS?,NEEDS_GROUNDING,,,,,pending,
menst-010_clinical,menst-010,menstrual,clinical,"Patient reports baseline euthymic mood with typically mild dysmenorrhea, but describes premenstrual low mood and severe cramping; requests differentiation from typical PMS.",NEEDS_GROUNDING,,,,,pending,
menst-010_layperson,menst-010,menstrual,layperson,"Normally I'm in a good mood and my cramps aren't too bad, but right before my period I feel really down and get intense cramps. Could this be more than just regular PMS?",NEEDS_GROUNDING,,,,,pending,
menst-010_indirect_cultural,menst-010,menstrual,indirect_cultural,"I'm usually fine, but in the days before my cycle I get really low and the pain gets much worse than usual — could that be something more serious than the usual monthly thing?",NEEDS_GROUNDING,,,,,pending,
menst-010_ambiguous,menst-010,menstrual,ambiguous,Right before my cycle I feel a lot worse than I think I should — could that be something else going on?,NEEDS_GROUNDING,,,,,pending,
menst-010_emotionally_concerned,menst-010,menstrual,emotionally_concerned,I'm scared because right before my period I feel so low and the cramps get so much worse than normal — could this mean something more serious than PMS?,NEEDS_GROUNDING,,,,,pending,
menst-011_canonical,menst-011,menstrual,canonical,My friend started getting her periods lately and her doctor said it was because of hormonal changes during puberty. How are hormonal changes related to oligomenorrhea?,NEEDS_GROUNDING,,,,,pending,
menst-011_clinical,menst-011,menstrual,clinical,"Third-party inquiry regarding a peer recently experiencing menarche, attributed by her physician to pubertal hormonal changes; requests explanation of the relationship between hormonal changes and oligomenorrhea.",NEEDS_GROUNDING,,,,,pending,
menst-011_layperson,menst-011,menstrual,layperson,"My friend just started getting her periods, and her doctor said it's due to hormone changes from puberty. How are hormone changes connected to having infrequent periods (oligomenorrhea)?",NEEDS_GROUNDING,,,,,pending,
menst-011_indirect_cultural,menst-011,menstrual,indirect_cultural,My friend just became a woman recently and her doctor talked about hormone changes from growing up — how does that connect to her periods being so spaced out?,NEEDS_GROUNDING,,,,,pending,
menst-011_ambiguous,menst-011,menstrual,ambiguous,My friend's cycle situation got explained as hormones from growing up — how does that actually work?,NEEDS_GROUNDING,,,,,pending,
menst-011_emotionally_concerned,menst-011,menstrual,emotionally_concerned,"My friend just started her periods and her doctor mentioned hormonal changes — I'm curious and a little worried, how exactly does that relate to infrequent periods?",NEEDS_GROUNDING,,,,,pending,
menst-012_canonical,menst-012,menstrual,canonical,I have recently become aware of my irregular periods but I don't want to go to a doctor and talk about it. Is there any way to identify if I should seek medical help?,NEEDS_GROUNDING,,,,,pending,
menst-012_clinical,menst-012,menstrual,clinical,Patient recently noted menstrual irregularity and expresses reluctance to seek in-person consultation; requests self-assessment criteria for when medical evaluation is warranted.,NEEDS_GROUNDING,,,,,pending,
menst-012_layperson,menst-012,menstrual,layperson,I recently noticed my periods are irregular but I really don't want to go see a doctor about it. Is there a way to tell if I actually need to seek medical help?,NEEDS_GROUNDING,,,,,pending,
menst-012_indirect_cultural,menst-012,menstrual,indirect_cultural,"I've noticed something's off with my cycle lately, but I'd rather not sit down and talk to someone about it face to face — is there some way to know if it's serious enough that I should?",NEEDS_GROUNDING,,,,,pending,
menst-012_ambiguous,menst-012,menstrual,ambiguous,I've noticed something's a bit off lately but I don't really want to bring it up with anyone — how would I know if it's actually something to worry about?,NEEDS_GROUNDING,,,,,pending,
menst-012_emotionally_concerned,menst-012,menstrual,emotionally_concerned,I noticed my periods have become irregular and I'm anxious about seeing a doctor — is there some way I can tell on my own if I really need to go?,NEEDS_GROUNDING,,,,,pending,
menst-013_canonical,menst-013,menstrual,canonical,hi doctor i have missed my periods by 6 days i have done test twice but both were negative.....even my blood report is negative i even have vomiting............m i pergnant or not and if not what is the reason of this delay,NEEDS_GROUNDING,,,,,pending,
menst-013_clinical,menst-013,menstrual,clinical,"Patient reports 6-day delay in menses with two negative urine pregnancy tests and a negative blood pregnancy test, accompanied by vomiting; requests clarification on pregnancy status and cause of delay.",NEEDS_GROUNDING,,,,,pending,
menst-013_layperson,menst-013,menstrual,layperson,"My period is 6 days late. I've taken two pregnancy tests and both were negative, and even my blood test came back negative. I've also been throwing up. Am I pregnant or not, and if not, what's causing the delay?",NEEDS_GROUNDING,,,,,pending,
menst-013_indirect_cultural,menst-013,menstrual,indirect_cultural,"My monthly visitor hasn't shown up in 6 days now, and I've checked twice with tests that both came back clear, even the blood one — but I've been feeling sick to my stomach too. Could I still be expecting, or is something else going on?",NEEDS_GROUNDING,,,,,pending,
menst-013_ambiguous,menst-013,menstrual,ambiguous,"It's been almost a week since I should have started, the tests keep coming back the same each time, and I've also not been feeling great in my stomach — what could be going on?",NEEDS_GROUNDING,,,,,pending,
menst-013_emotionally_concerned,menst-013,menstrual,emotionally_concerned,"I'm so anxious — my period is 6 days late, both pregnancy tests and even my blood test are negative, and I've been vomiting. Am I pregnant or is something else wrong? I need to know what's causing this delay.",NEEDS_GROUNDING,,,,,pending,
menst-014_canonical,menst-014,menstrual,canonical,"I am 26 years old. Married one year before trying for pregnancy. I have irregular periods. On consulting a doctor, I was informed to take semibrom tablet. What is the usage of using this tablet. Is the tablet having side effects ?",NEEDS_GROUNDING,,,,,pending,
menst-014_clinical,menst-014,menstrual,clinical,"26-year-old patient, married one year, currently attempting conception, with irregular menses; prescribed semibrom tablet by treating physician. Requests information on indication/usage and potential side effects.",NEEDS_GROUNDING,,,,,pending,
menst-014_layperson,menst-014,menstrual,layperson,"I'm 26 and got married a year ago, and now I'm trying to get pregnant. I have irregular periods. My doctor told me to take a semibrom tablet. What is this tablet used for, and does it have any side effects?",NEEDS_GROUNDING,,,,,pending,
menst-014_indirect_cultural,menst-014,menstrual,indirect_cultural,"I got married a year back and we're now hoping for a baby, but my cycle isn't regular. The doctor gave me a tablet called semibrom — what exactly does it do, and could it cause any problems?",NEEDS_GROUNDING,,,,,pending,
menst-014_ambiguous,menst-014,menstrual,ambiguous,The doctor gave me a tablet for my cycle issue since we're trying to start a family — what does it actually do and is it safe?,NEEDS_GROUNDING,,,,,pending,
menst-014_emotionally_concerned,menst-014,menstrual,emotionally_concerned,"I'm 26, married a year, and we're trying for a baby, but my periods are irregular. My doctor prescribed a tablet called semibrom and I'm nervous about it — what is it for, and does it have side effects I should worry about?",NEEDS_GROUNDING,,,,,pending,
menst-015_canonical,menst-015,menstrual,canonical,my lower abdomi hurts really bad it is radiating into my lower back and in short bursts down my leg... I have no period anymore since I had the Novosure ablasion done haven t had cramping in months and months why does it hurt so bad,NEEDS_GROUNDING,,,,,pending,
menst-015_clinical,menst-015,menstrual,clinical,Patient reports severe lower abdominal pain radiating to the lower back and in short bursts down the leg; post-endometrial ablation (NovaSure) with amenorrhea and absence of cramping for several months; requests explanation for the current pain.,NEEDS_GROUNDING,,,,,pending,
menst-015_layperson,menst-015,menstrual,layperson,"My lower belly hurts really badly, and the pain spreads into my lower back and shoots down my leg in short bursts. I haven't had a period since I had the NovaSure ablation done, and I haven't had cramps in months. Why would it be hurting this much now?",NEEDS_GROUNDING,,,,,pending,
menst-015_indirect_cultural,menst-015,menstrual,indirect_cultural,"I had that procedure done a while back that stopped my monthly cycle completely, and I haven't had any cramping since — but now my lower belly is hurting badly, spreading to my back and shooting down my leg. Why would that be happening now?",NEEDS_GROUNDING,,,,,pending,
menst-015_ambiguous,menst-015,menstrual,ambiguous,"I had a procedure done a while ago that changed things down there, and I haven't had the usual monthly discomfort since — but now I have this bad pain in my lower body that comes and goes. Why would that be happening?",NEEDS_GROUNDING,,,,,pending,
menst-015_emotionally_concerned,menst-015,menstrual,emotionally_concerned,"I'm really scared — my lower belly hurts so badly, it's spreading to my back and shooting down my leg, even though I haven't had a period or any cramping in months since my NovaSure ablation. Why would it hurt this much now?",NEEDS_GROUNDING,,,,,pending,
menst-016_canonical,menst-016,menstrual,canonical,"My age is 23 yrs, i had irregular periods so i contacted doctor . DOctor suggested to take Crisanta. I have a question any side effects with this? taking this increases weight? or any other problems ? Please reply for this question.",NEEDS_GROUNDING,,,,,pending,
menst-016_clinical,menst-016,menstrual,clinical,"23-year-old patient with irregular menstrual cycles, prescribed Crisanta by physician; requests information on potential side effects, weight gain, and other associated problems.",NEEDS_GROUNDING,,,,,pending,
menst-016_layperson,menst-016,menstrual,layperson,"I'm 23 and I had irregular periods, so I saw a doctor who suggested I take Crisanta. Does this medicine have any side effects? Does it cause weight gain or any other problems?",NEEDS_GROUNDING,,,,,pending,
menst-016_indirect_cultural,menst-016,menstrual,indirect_cultural,"I'm 23 and my cycle hasn't been regular, so I went to see someone about it and they gave me this tablet called Crisanta. Does it come with any downsides, like putting on weight or anything else I should know about?",NEEDS_GROUNDING,,,,,pending,
menst-016_ambiguous,menst-016,menstrual,ambiguous,I was given a tablet for a cycle problem I've been having — does it cause weight gain or any other issues I should watch for?,NEEDS_GROUNDING,,,,,pending,
menst-016_emotionally_concerned,menst-016,menstrual,emotionally_concerned,"I'm 23 and worried — my doctor put me on Crisanta for my irregular periods, and I'm anxious about whether it has side effects, causes weight gain, or other problems. Please help me understand.",NEEDS_GROUNDING,,,,,pending,
menst-017_canonical,menst-017,menstrual,canonical,"I am 23 yrs old. a month ago i did a pelvic ultra sound due to irregular period, found out that i ave a Bulky uterus and Seedling Fibroids . now am worrying. I am not ready 2 ave a child right now. But can I get pregnant in the future?",Uterine fibroids (CDC common concerns) | https://www.cdc.gov/reproductive-health/women-health/common-concerns.html,,,,,pending,
menst-017_clinical,menst-017,menstrual,clinical,23-year-old patient with pelvic ultrasound (performed due to irregular periods) revealing bulky uterus and seedling fibroids; expresses anxiety and is not currently planning pregnancy but asks about future fertility potential.,Uterine fibroids (CDC common concerns) | https://www.cdc.gov/reproductive-health/women-health/common-concerns.html,,,,,pending,
menst-017_layperson,menst-017,menstrual,layperson,"I'm 23. A month ago I had a pelvic ultrasound because of irregular periods, and it showed I have a bulky uterus and small ('seedling') fibroids. I'm worried now. I don't want a child right now, but will I be able to get pregnant in the future?",Uterine fibroids (CDC common concerns) | https://www.cdc.gov/reproductive-health/women-health/common-concerns.html,,,,,pending,
menst-017_indirect_cultural,menst-017,menstrual,indirect_cultural,"A month ago I had a scan done because my cycle wasn't right, and they found some small growths and said my womb looked bigger than usual. I'm not ready for a child yet, but could this affect me having one later?",Uterine fibroids (CDC common concerns) | https://www.cdc.gov/reproductive-health/women-health/common-concerns.html,,,,,pending,
menst-017_ambiguous,menst-017,menstrual,ambiguous,"I had a scan done a while back because of a cycle issue, and they found something in there. I'm not thinking about a family yet, but could this be a problem for later?",Uterine fibroids (CDC common concerns) | https://www.cdc.gov/reproductive-health/women-health/common-concerns.html,,,,,pending,
menst-017_emotionally_concerned,menst-017,menstrual,emotionally_concerned,"I'm only 23 and I'm really scared — my ultrasound found a bulky uterus and small fibroids after I went in for irregular periods. I'm not ready for a child now, but will I still be able to get pregnant later? Please help me understand.",Uterine fibroids (CDC common concerns) | https://www.cdc.gov/reproductive-health/women-health/common-concerns.html,,,,,pending,
menst-018_canonical,menst-018,menstrual,canonical,"i have bn married for 4yrs, but i havnt conceived, my menstrual cycle is sometimes painful and i feel some lump under my abdomen but they are not painful. wat causes m not to conceive is it these lumps please help doc, desparate need a child",NEEDS_GROUNDING,,,,,pending,
menst-018_clinical,menst-018,menstrual,clinical,"Patient married 4 years without conception; reports intermittently painful menstrual cycles and palpable, non-tender abdominal lump(s). Requests evaluation of potential causes of infertility, specifically whether the lumps are implicated.",NEEDS_GROUNDING,,,,,pending,
menst-018_layperson,menst-018,menstrual,layperson,"I've been married for 4 years and haven't been able to get pregnant. My periods are sometimes painful, and I can feel a lump under my belly, but it doesn't hurt. What could be stopping me from conceiving — could it be these lumps? I really need help, I desperately want a child.",NEEDS_GROUNDING,,,,,pending,
menst-018_indirect_cultural,menst-018,menstrual,indirect_cultural,"We've been married four years now with no child yet. My cycle is sometimes painful, and I can feel something under my belly that doesn't hurt on its own. Could that be why we haven't been blessed with a baby? I need guidance, doctor — this means everything to us.",NEEDS_GROUNDING,,,,,pending,
menst-018_ambiguous,menst-018,menstrual,ambiguous,It's been years and nothing's happened for us yet. I sometimes feel something under my belly and my cycle can be painful — could that be connected to why we haven't had success?,NEEDS_GROUNDING,,,,,pending,
menst-018_emotionally_concerned,menst-018,menstrual,emotionally_concerned,"I'm desperate, doctor — 4 years married with no child, painful periods sometimes, and a lump under my belly that doesn't hurt. Could the lumps be why I can't conceive? Please help me, I need a child so badly.",NEEDS_GROUNDING,,,,,pending,
menst-019_canonical,menst-019,menstrual,canonical,I have missed my periods by 3 days and the test on the strip came weakly positive ( very faint line). I also feel some kind of pain on either sides of pelvic regions since last 2 days and sensation of period like tendency could I be pregnant?,NEEDS_GROUNDING,,,,,pending,
menst-019_clinical,menst-019,menstrual,clinical,"Patient reports 3-day delay in menses with a weakly positive urine pregnancy test (faint line), accompanied by bilateral pelvic pain for 2 days and a sensation resembling impending menses; requests assessment of pregnancy likelihood.",NEEDS_GROUNDING,,,,,pending,
menst-019_layperson,menst-019,menstrual,layperson,"My period is 3 days late, and a pregnancy test showed a very faint positive line. I've also had pain on both sides of my lower belly for the past 2 days, along with a feeling like my period is about to start. Could I be pregnant?",NEEDS_GROUNDING,,,,,pending,
menst-019_indirect_cultural,menst-019,menstrual,indirect_cultural,"My monthly hasn't come for 3 days now, and a test I took showed a very faint line. I've also had a pulling feeling on both sides down there for two days, almost like my period wants to come. Could I be expecting?",NEEDS_GROUNDING,,,,,pending,
menst-019_ambiguous,menst-019,menstrual,ambiguous,"It's been a few days past when I expected my period, a test I took showed something faint, and I've had some discomfort on both sides for a couple days along with a feeling like it's about to start — what could that mean?",NEEDS_GROUNDING,,,,,pending,
menst-019_emotionally_concerned,menst-019,menstrual,emotionally_concerned,"I'm anxious — my period is 3 days late, my test showed a very faint positive line, and I've had pain on both sides of my belly for 2 days along with a feeling like my period is coming. Could I actually be pregnant?",NEEDS_GROUNDING,,,,,pending,
menst-020_canonical,menst-020,menstrual,canonical,HI I am 30yrs old and am planning for my pregnancy . I have always been having irregular periods. My LH level seems to be very high (25). Could you suggest necessary steps I am required to take ?,NEEDS_GROUNDING,,,,,pending,
menst-020_clinical,menst-020,menstrual,clinical,"30-year-old patient planning conception, with longstanding menstrual cycle irregularity and elevated LH level (25); requests recommended next steps.",NEEDS_GROUNDING,,,,,pending,
menst-020_layperson,menst-020,menstrual,layperson,"Hi, I'm 30 and planning to get pregnant. I've always had irregular periods, and my LH level came back really high, at 25. What steps should I take next?",NEEDS_GROUNDING,,,,,pending,
menst-020_indirect_cultural,menst-020,menstrual,indirect_cultural,"I'm 30 and hoping to start a family soon. My cycle has never really been regular, and a hormone test came back much higher than it should be. What should I do next?",NEEDS_GROUNDING,,,,,pending,
menst-020_ambiguous,menst-020,menstrual,ambiguous,"I'm hoping to start trying for a baby, but my cycle has always been unpredictable and a recent test came back higher than expected — what should I do?",NEEDS_GROUNDING,,,,,pending,
menst-020_emotionally_concerned,menst-020,menstrual,emotionally_concerned,"I'm 30 and really want to plan my pregnancy well, but my periods have always been irregular and my LH level is very high at 25 — I'm worried, what steps do I need to take?",NEEDS_GROUNDING,,,,,pending,
menst-021_canonical,menst-021,menstrual,canonical,hi i m 35 year old married woman ..married for 3 yrs..trying for child since 1 yr..i ve regular periods ...i missed periods whenever i ve intercourse during fertile period and i m not pregnant ...this is the second time happening consecutively ..,NEEDS_GROUNDING,,,,,pending,
menst-021_clinical,menst-021,menstrual,clinical,"35-year-old patient, married 3 years, trying to conceive for 1 year, with otherwise regular menstrual cycles; reports missed periods specifically following intercourse during the fertile window, with negative pregnancy testing, occurring for two consecutive cycles.",NEEDS_GROUNDING,,,,,pending,
menst-021_layperson,menst-021,menstrual,layperson,"Hi, I'm 35 and married for 3 years. We've been trying for a baby for a year now. My periods are usually regular, but every time I have sex during my fertile window, my period gets delayed — but I'm not pregnant. This has happened two times in a row now.",NEEDS_GROUNDING,,,,,pending,
menst-021_indirect_cultural,menst-021,menstrual,indirect_cultural,"I'm 35, married three years, and we've been hoping for a child for about a year. My cycle is usually on time, but whenever we're together during the days it matters most, my period gets delayed and there's still no news — this has happened twice now, one after another.",NEEDS_GROUNDING,,,,,pending,
menst-021_ambiguous,menst-021,menstrual,ambiguous,"Something odd keeps happening around the time we're trying for a baby — my cycle gets delayed but nothing comes of it, and it's happened more than once now. What could that mean?",NEEDS_GROUNDING,,,,,pending,
menst-021_emotionally_concerned,menst-021,menstrual,emotionally_concerned,"I'm 35 and getting really anxious — we've been trying for a baby for a year, and twice in a row now my period has gotten delayed right after we tried during my fertile window, but I'm still not pregnant. What's going on?",NEEDS_GROUNDING,,,,,pending,
menst-022_canonical,menst-022,menstrual,canonical,"am 27 yrs , 5 .3 feet and 52 kg.am suffering from irregular periods from 13 yrs onwards. am having treatment of this. also thyriod for which am taking thyronorm 50 mcg , for PCOD am taking ChromiNACA. I got married and wants to be pregnant . can I.",NEEDS_GROUNDING,,,,,pending,
menst-022_clinical,menst-022,menstrual,clinical,"27-year-old patient with irregular menses since age 13, currently under treatment; also managing hypothyroidism (thyronorm 50 mcg) and PCOD (ChromiNACA). Recently married and inquiring about ability to conceive.",NEEDS_GROUNDING,,,,,pending,
menst-022_layperson,menst-022,menstrual,layperson,"I'm 27, 5'3"" and 52 kg. I've had irregular periods since I was 13 and I'm being treated for it. I also have a thyroid condition, for which I take thyronorm 50 mcg, and I'm taking ChromiNACA for PCOD. I just got married and want to get pregnant — can I?",NEEDS_GROUNDING,,,,,pending,
menst-022_indirect_cultural,menst-022,menstrual,indirect_cultural,"I'm 27 and my cycle has never really been regular since I was a young teenager — I've been getting treatment for it, plus I take medicine for my thyroid and for a hormone condition. I recently got married and I'm hoping to start a family — is that possible for me?",NEEDS_GROUNDING,,,,,pending,
menst-022_ambiguous,menst-022,menstrual,ambiguous,"I've had a cycle issue since I was young and I'm on a few different treatments for related things — now that I'm married, is it possible for me to have a baby?",NEEDS_GROUNDING,,,,,pending,
menst-022_emotionally_concerned,menst-022,menstrual,emotionally_concerned,"I'm 27 and I've struggled with irregular periods since I was 13, plus a thyroid condition and PCOD that I'm being treated for. I just got married and I really want to be pregnant — is that possible for me? I'm worried it might not be.",NEEDS_GROUNDING,,,,,pending,
