item_id,seed_id,category,style,source_text_en,gold_condition,ar_text,ar_translator_id,ar_reviewer_id,ar_validation_status,ar_notes
menst-005_clinical,menst-005,menstrual,clinical,I have PMS.,NEEDS_GROUNDING,,,,pending,
menst-005_layperson,menst-005,menstrual,layperson,Before my period I feel bad PMS symptoms (PMS) and it worries me.,NEEDS_GROUNDING,,,,pending,
menst-005_indirect_cultural,menst-005,menstrual,indirect_cultural,My monthly / womanly problem has become unusual regarding PMS.,NEEDS_GROUNDING,,,,pending,
menst-005_ambiguous,menst-005,menstrual,ambiguous,Something feels wrong with my cycle / hormones (PMS).,NEEDS_GROUNDING,,,,pending,
menst-005_emotionally_concerned,menst-005,menstrual,emotionally_concerned,I am really worried and scared about PMS. Please help me understand what this means.,NEEDS_GROUNDING,,,,pending,
menst-006_canonical,menst-006,menstrual,canonical,I am an athlete and I have been under a lot of stress due to my training schedule. I have not received my periods since the past 3 months. Is stress the reason behind temporary amenorrhea?,NEEDS_GROUNDING,,,,pending,
menst-006_clinical,menst-006,menstrual,clinical,I have amenorrhea.,NEEDS_GROUNDING,,,,pending,
menst-006_layperson,menst-006,menstrual,layperson,My period is not coming properly — this is about amenorrhea.,NEEDS_GROUNDING,,,,pending,
menst-006_indirect_cultural,menst-006,menstrual,indirect_cultural,My monthly / womanly problem has become unusual regarding amenorrhea.,NEEDS_GROUNDING,,,,pending,
menst-006_ambiguous,menst-006,menstrual,ambiguous,Something feels wrong with my cycle / hormones (amenorrhea).,NEEDS_GROUNDING,,,,pending,
menst-006_emotionally_concerned,menst-006,menstrual,emotionally_concerned,I am really worried and scared about amenorrhea. Please help me understand what this means.,NEEDS_GROUNDING,,,,pending,
menst-007_canonical,menst-007,menstrual,canonical,I have irregular periods and I have to travel to the city to discuss it with a doctor. What kinds of tests can the doctor do to find out the reason for my abnormal periods?,NEEDS_GROUNDING,,,,pending,
menst-007_clinical,menst-007,menstrual,clinical,I have irregular periods.,NEEDS_GROUNDING,,,,pending,
menst-007_layperson,menst-007,menstrual,layperson,My period is not coming properly — this is about irregular periods.,NEEDS_GROUNDING,,,,pending,
menst-007_indirect_cultural,menst-007,menstrual,indirect_cultural,My monthly / womanly problem has become unusual regarding irregular periods.,NEEDS_GROUNDING,,,,pending,
menst-007_ambiguous,menst-007,menstrual,ambiguous,Something feels wrong with my cycle / hormones (irregular periods).,NEEDS_GROUNDING,,,,pending,
menst-007_emotionally_concerned,menst-007,menstrual,emotionally_concerned,I am really worried and scared about irregular periods. Please help me understand what this means.,NEEDS_GROUNDING,,,,pending,
menst-008_canonical,menst-008,menstrual,canonical,Due to my irregular periods I am worried about getting pregnant even after taking the necessary precautions. Is it possible for me to conceive even with irregular periods?,NEEDS_GROUNDING,,,,pending,
menst-008_clinical,menst-008,menstrual,clinical,I have irregular periods and conceive.,NEEDS_GROUNDING,,,,pending,
menst-008_layperson,menst-008,menstrual,layperson,My period is not coming properly — this is about irregular periods and conceive.,NEEDS_GROUNDING,,,,pending,
menst-008_indirect_cultural,menst-008,menstrual,indirect_cultural,My monthly / womanly problem has become unusual regarding irregular periods and conceive.,NEEDS_GROUNDING,,,,pending,
menst-008_ambiguous,menst-008,menstrual,ambiguous,Something feels wrong with my cycle / hormones (irregular periods and conceive).,NEEDS_GROUNDING,,,,pending,
menst-008_emotionally_concerned,menst-008,menstrual,emotionally_concerned,I am really worried and scared about irregular periods and conceive. Please help me understand what this means.,NEEDS_GROUNDING,,,,pending,
menst-009_canonical,menst-009,menstrual,canonical,"My daughter has been going through a lot of stress due to her examinations. As a result, she has stopped getting her periods. How does stress trigger temporary amenorrhea?",NEEDS_GROUNDING,,,,pending,
menst-009_clinical,menst-009,menstrual,clinical,I have amenorrhea.,NEEDS_GROUNDING,,,,pending,
menst-009_layperson,menst-009,menstrual,layperson,My period is not coming properly — this is about amenorrhea.,NEEDS_GROUNDING,,,,pending,
menst-009_indirect_cultural,menst-009,menstrual,indirect_cultural,My monthly / womanly problem has become unusual regarding amenorrhea.,NEEDS_GROUNDING,,,,pending,
menst-009_ambiguous,menst-009,menstrual,ambiguous,Something feels wrong with my cycle / hormones (amenorrhea).,NEEDS_GROUNDING,,,,pending,
menst-009_emotionally_concerned,menst-009,menstrual,emotionally_concerned,I am really worried and scared about amenorrhea. Please help me understand what this means.,NEEDS_GROUNDING,,,,pending,
menst-010_canonical,menst-010,menstrual,canonical,I am usually very happy and my cramps do not bother me much. But before my period I feel very low and get really bad cramps. Is this a sign of something more than PMS?,NEEDS_GROUNDING,,,,pending,
menst-010_clinical,menst-010,menstrual,clinical,I have cramps and PMS.,NEEDS_GROUNDING,,,,pending,
menst-010_layperson,menst-010,menstrual,layperson,Before my period I feel bad PMS symptoms (cramps and PMS) and it worries me.,NEEDS_GROUNDING,,,,pending,
menst-010_indirect_cultural,menst-010,menstrual,indirect_cultural,My monthly / womanly problem has become unusual regarding cramps and PMS.,NEEDS_GROUNDING,,,,pending,
menst-010_ambiguous,menst-010,menstrual,ambiguous,Something feels wrong with my cycle / hormones (cramps and PMS).,NEEDS_GROUNDING,,,,pending,
menst-010_emotionally_concerned,menst-010,menstrual,emotionally_concerned,I am really worried and scared about cramps and PMS. Please help me understand what this means.,NEEDS_GROUNDING,,,,pending,
menst-011_canonical,menst-011,menstrual,canonical,My friend started getting her periods lately and her doctor said it was because of hormonal changes during puberty. How are hormonal changes related to oligomenorrhea?,NEEDS_GROUNDING,,,,pending,
menst-011_clinical,menst-011,menstrual,clinical,I have hormonal.,NEEDS_GROUNDING,,,,pending,
menst-011_layperson,menst-011,menstrual,layperson,My period is not coming properly — this is about hormonal.,NEEDS_GROUNDING,,,,pending,
menst-011_indirect_cultural,menst-011,menstrual,indirect_cultural,My monthly / womanly problem has become unusual regarding hormonal.,NEEDS_GROUNDING,,,,pending,
menst-011_ambiguous,menst-011,menstrual,ambiguous,Something feels wrong with my cycle / hormones (hormonal).,NEEDS_GROUNDING,,,,pending,
menst-011_emotionally_concerned,menst-011,menstrual,emotionally_concerned,I am really worried and scared about hormonal. Please help me understand what this means.,NEEDS_GROUNDING,,,,pending,
menst-012_canonical,menst-012,menstrual,canonical,I have recently become aware of my irregular periods but I don't want to go to a doctor and talk about it. Is there any way to identify if I should seek medical help?,NEEDS_GROUNDING,,,,pending,
menst-012_clinical,menst-012,menstrual,clinical,I have irregular periods.,NEEDS_GROUNDING,,,,pending,
menst-012_layperson,menst-012,menstrual,layperson,My period is not coming properly — this is about irregular periods.,NEEDS_GROUNDING,,,,pending,
menst-012_indirect_cultural,menst-012,menstrual,indirect_cultural,My monthly / womanly problem has become unusual regarding irregular periods.,NEEDS_GROUNDING,,,,pending,
menst-012_ambiguous,menst-012,menstrual,ambiguous,Something feels wrong with my cycle / hormones (irregular periods).,NEEDS_GROUNDING,,,,pending,
menst-012_emotionally_concerned,menst-012,menstrual,emotionally_concerned,I am really worried and scared about irregular periods. Please help me understand what this means.,NEEDS_GROUNDING,,,,pending,
menst-013_canonical,menst-013,menstrual,canonical,hi doctor i have missed my periods by 6 days i have done test twice but both were negative.....even my blood report is negative i even have vomiting............m i pergnant or not and if not what is the reason of this delay,NEEDS_GROUNDING,,,,pending,
menst-013_clinical,menst-013,menstrual,clinical,I have missed periods.,NEEDS_GROUNDING,,,,pending,
menst-013_layperson,menst-013,menstrual,layperson,My period is not coming properly — this is about missed periods.,NEEDS_GROUNDING,,,,pending,
menst-013_indirect_cultural,menst-013,menstrual,indirect_cultural,My monthly / womanly problem has become unusual regarding missed periods.,NEEDS_GROUNDING,,,,pending,
menst-013_ambiguous,menst-013,menstrual,ambiguous,Something feels wrong with my cycle / hormones (missed periods).,NEEDS_GROUNDING,,,,pending,
menst-013_emotionally_concerned,menst-013,menstrual,emotionally_concerned,I am really worried and scared about missed periods. Please help me understand what this means.,NEEDS_GROUNDING,,,,pending,
menst-014_canonical,menst-014,menstrual,canonical,"I am 26 years old. Married one year before trying for pregnancy. I have irregular periods. On consulting a doctor, I was informed to take semibrom tablet. What is the usage of using this tablet. Is the tablet having side effects ?",NEEDS_GROUNDING,,,,pending,
menst-014_clinical,menst-014,menstrual,clinical,I have irregular periods.,NEEDS_GROUNDING,,,,pending,
menst-014_layperson,menst-014,menstrual,layperson,My period is not coming properly — this is about irregular periods.,NEEDS_GROUNDING,,,,pending,
menst-014_indirect_cultural,menst-014,menstrual,indirect_cultural,My monthly / womanly problem has become unusual regarding irregular periods.,NEEDS_GROUNDING,,,,pending,
menst-014_ambiguous,menst-014,menstrual,ambiguous,Something feels wrong with my cycle / hormones (irregular periods).,NEEDS_GROUNDING,,,,pending,
menst-014_emotionally_concerned,menst-014,menstrual,emotionally_concerned,I am really worried and scared about irregular periods. Please help me understand what this means.,NEEDS_GROUNDING,,,,pending,
menst-015_canonical,menst-015,menstrual,canonical,my lower abdomi hurts really bad it is radiating into my lower back and in short bursts down my leg... I have no period anymore since I had the Novosure ablasion done haven t had cramping in months and months why does it hurt so bad,NEEDS_GROUNDING,,,,pending,
menst-015_clinical,menst-015,menstrual,clinical,I have no periods.,NEEDS_GROUNDING,,,,pending,
menst-015_layperson,menst-015,menstrual,layperson,My period is not coming properly — this is about no periods.,NEEDS_GROUNDING,,,,pending,
menst-015_indirect_cultural,menst-015,menstrual,indirect_cultural,My monthly / womanly problem has become unusual regarding no periods.,NEEDS_GROUNDING,,,,pending,
menst-015_ambiguous,menst-015,menstrual,ambiguous,Something feels wrong with my cycle / hormones (no periods).,NEEDS_GROUNDING,,,,pending,
menst-015_emotionally_concerned,menst-015,menstrual,emotionally_concerned,I am really worried and scared about no periods. Please help me understand what this means.,NEEDS_GROUNDING,,,,pending,
menst-016_canonical,menst-016,menstrual,canonical,"My age is 23 yrs, i had irregular periods so i contacted doctor . DOctor suggested to take Crisanta. I have a question any side effects with this? taking this increases weight? or any other problems ? Please reply for this question.",NEEDS_GROUNDING,,,,pending,
menst-016_clinical,menst-016,menstrual,clinical,I have irregular periods and weight.,NEEDS_GROUNDING,,,,pending,
menst-016_layperson,menst-016,menstrual,layperson,My period is not coming properly — this is about irregular periods and weight.,NEEDS_GROUNDING,,,,pending,
menst-016_indirect_cultural,menst-016,menstrual,indirect_cultural,My monthly / womanly problem has become unusual regarding irregular periods and weight.,NEEDS_GROUNDING,,,,pending,
menst-016_ambiguous,menst-016,menstrual,ambiguous,Something feels wrong with my cycle / hormones (irregular periods and weight).,NEEDS_GROUNDING,,,,pending,
menst-016_emotionally_concerned,menst-016,menstrual,emotionally_concerned,I am really worried and scared about irregular periods and weight. Please help me understand what this means.,NEEDS_GROUNDING,,,,pending,
menst-017_canonical,menst-017,menstrual,canonical,"I am 23 yrs old. a month ago i did a pelvic ultra sound due to irregular period, found out that i ave a Bulky uterus and Seedling Fibroids . now am worrying. I am not ready 2 ave a child right now. But can I get pregnant in the future?",Uterine fibroids (CDC common concerns) | https://www.cdc.gov/reproductive-health/women-health/common-concerns.html,,,,pending,
menst-017_clinical,menst-017,menstrual,clinical,I have irregular periods.,Uterine fibroids (CDC common concerns) | https://www.cdc.gov/reproductive-health/women-health/common-concerns.html,,,,pending,
menst-017_layperson,menst-017,menstrual,layperson,My period is not coming properly — this is about irregular periods.,Uterine fibroids (CDC common concerns) | https://www.cdc.gov/reproductive-health/women-health/common-concerns.html,,,,pending,
menst-017_indirect_cultural,menst-017,menstrual,indirect_cultural,My monthly / womanly problem has become unusual regarding irregular periods.,Uterine fibroids (CDC common concerns) | https://www.cdc.gov/reproductive-health/women-health/common-concerns.html,,,,pending,
menst-017_ambiguous,menst-017,menstrual,ambiguous,Something feels wrong with my cycle / hormones (irregular periods).,Uterine fibroids (CDC common concerns) | https://www.cdc.gov/reproductive-health/women-health/common-concerns.html,,,,pending,
menst-017_emotionally_concerned,menst-017,menstrual,emotionally_concerned,I am really worried and scared about irregular periods. Please help me understand what this means.,Uterine fibroids (CDC common concerns) | https://www.cdc.gov/reproductive-health/women-health/common-concerns.html,,,,pending,
menst-018_canonical,menst-018,menstrual,canonical,"i have bn married for 4yrs, but i havnt conceived, my menstrual cycle is sometimes painful and i feel some lump under my abdomen but they are not painful. wat causes m not to conceive is it these lumps please help doc, desparate need a child",NEEDS_GROUNDING,,,,pending,
menst-018_clinical,menst-018,menstrual,clinical,I have conceive.,NEEDS_GROUNDING,,,,pending,
menst-018_layperson,menst-018,menstrual,layperson,My period is not coming properly — this is about conceive.,NEEDS_GROUNDING,,,,pending,
menst-018_indirect_cultural,menst-018,menstrual,indirect_cultural,My monthly / womanly problem has become unusual regarding conceive.,NEEDS_GROUNDING,,,,pending,
menst-018_ambiguous,menst-018,menstrual,ambiguous,Something feels wrong with my cycle / hormones (conceive).,NEEDS_GROUNDING,,,,pending,
menst-018_emotionally_concerned,menst-018,menstrual,emotionally_concerned,I am really worried and scared about conceive. Please help me understand what this means.,NEEDS_GROUNDING,,,,pending,
menst-019_canonical,menst-019,menstrual,canonical,I have missed my periods by 3 days and the test on the strip came weakly positive ( very faint line). I also feel some kind of pain on either sides of pelvic regions since last 2 days and sensation of period like tendency could I be pregnant?,NEEDS_GROUNDING,,,,pending,
menst-019_clinical,menst-019,menstrual,clinical,I have missed periods.,NEEDS_GROUNDING,,,,pending,
menst-019_layperson,menst-019,menstrual,layperson,My period is not coming properly — this is about missed periods.,NEEDS_GROUNDING,,,,pending,
menst-019_indirect_cultural,menst-019,menstrual,indirect_cultural,My monthly / womanly problem has become unusual regarding missed periods.,NEEDS_GROUNDING,,,,pending,
menst-019_ambiguous,menst-019,menstrual,ambiguous,Something feels wrong with my cycle / hormones (missed periods).,NEEDS_GROUNDING,,,,pending,
menst-019_emotionally_concerned,menst-019,menstrual,emotionally_concerned,I am really worried and scared about missed periods. Please help me understand what this means.,NEEDS_GROUNDING,,,,pending,
menst-020_canonical,menst-020,menstrual,canonical,HI I am 30yrs old and am planning for my pregnancy . I have always been having irregular periods. My LH level seems to be very high (25). Could you suggest necessary steps I am required to take ?,NEEDS_GROUNDING,,,,pending,
menst-020_clinical,menst-020,menstrual,clinical,I have irregular periods.,NEEDS_GROUNDING,,,,pending,
menst-020_layperson,menst-020,menstrual,layperson,My period is not coming properly — this is about irregular periods.,NEEDS_GROUNDING,,,,pending,
menst-020_indirect_cultural,menst-020,menstrual,indirect_cultural,My monthly / womanly problem has become unusual regarding irregular periods.,NEEDS_GROUNDING,,,,pending,
menst-020_ambiguous,menst-020,menstrual,ambiguous,Something feels wrong with my cycle / hormones (irregular periods).,NEEDS_GROUNDING,,,,pending,
menst-020_emotionally_concerned,menst-020,menstrual,emotionally_concerned,I am really worried and scared about irregular periods. Please help me understand what this means.,NEEDS_GROUNDING,,,,pending,
menst-021_canonical,menst-021,menstrual,canonical,hi i m 35 year old married woman ..married for 3 yrs..trying for child since 1 yr..i ve regular periods ...i missed periods whenever i ve intercourse during fertile period and i m not pregnant ...this is the second time happening consecutively ..,NEEDS_GROUNDING,,,,pending,
menst-021_clinical,menst-021,menstrual,clinical,I have missed periods.,NEEDS_GROUNDING,,,,pending,
menst-021_layperson,menst-021,menstrual,layperson,My period is not coming properly — this is about missed periods.,NEEDS_GROUNDING,,,,pending,
menst-021_indirect_cultural,menst-021,menstrual,indirect_cultural,My monthly / womanly problem has become unusual regarding missed periods.,NEEDS_GROUNDING,,,,pending,
menst-021_ambiguous,menst-021,menstrual,ambiguous,Something feels wrong with my cycle / hormones (missed periods).,NEEDS_GROUNDING,,,,pending,
menst-021_emotionally_concerned,menst-021,menstrual,emotionally_concerned,I am really worried and scared about missed periods. Please help me understand what this means.,NEEDS_GROUNDING,,,,pending,
menst-022_canonical,menst-022,menstrual,canonical,"am 27 yrs , 5 .3 feet and 52 kg.am suffering from irregular periods from 13 yrs onwards. am having treatment of this. also thyriod for which am taking thyronorm 50 mcg , for PCOD am taking ChromiNACA. I got married and wants to be pregnant . can I.",NEEDS_GROUNDING,,,,pending,
menst-022_clinical,menst-022,menstrual,clinical,I have PCOD and irregular periods.,NEEDS_GROUNDING,,,,pending,
menst-022_layperson,menst-022,menstrual,layperson,My period is not coming properly — this is about PCOD and irregular periods.,NEEDS_GROUNDING,,,,pending,
menst-022_indirect_cultural,menst-022,menstrual,indirect_cultural,My monthly / womanly problem has become unusual regarding PCOD and irregular periods.,NEEDS_GROUNDING,,,,pending,
menst-022_ambiguous,menst-022,menstrual,ambiguous,Something feels wrong with my cycle / hormones (PCOD and irregular periods).,NEEDS_GROUNDING,,,,pending,
menst-022_emotionally_concerned,menst-022,menstrual,emotionally_concerned,I am really worried and scared about PCOD and irregular periods. Please help me understand what this means.,NEEDS_GROUNDING,,,,pending,
menst-023_canonical,menst-023,menstrual,canonical,hello Dr i m 25 yrs old and want to be pregnant because of my irregular periods my dr suggest me to take siphene tablete for 5 days and then do intercourse from 12to 18 day of cycle.In this mounth i have been done this procedure wether i m pregnant?,NEEDS_GROUNDING,,,,pending,
menst-023_clinical,menst-023,menstrual,clinical,I have irregular periods.,NEEDS_GROUNDING,,,,pending,
menst-023_layperson,menst-023,menstrual,layperson,My period is not coming properly — this is about irregular periods.,NEEDS_GROUNDING,,,,pending,
menst-023_indirect_cultural,menst-023,menstrual,indirect_cultural,My monthly / womanly problem has become unusual regarding irregular periods.,NEEDS_GROUNDING,,,,pending,
menst-023_ambiguous,menst-023,menstrual,ambiguous,Something feels wrong with my cycle / hormones (irregular periods).,NEEDS_GROUNDING,,,,pending,
menst-023_emotionally_concerned,menst-023,menstrual,emotionally_concerned,I am really worried and scared about irregular periods. Please help me understand what this means.,NEEDS_GROUNDING,,,,pending,
menst-024_canonical,menst-024,menstrual,canonical,was on nur-strute for 2 years its has stopped my periods all together now want to concieve but still no periods used primolut for 10 day its now 3 days no menstruation also have ovarian cyst,NEEDS_GROUNDING,,,,pending,
menst-024_clinical,menst-024,menstrual,clinical,I have no periods and cysts.,NEEDS_GROUNDING,,,,pending,
menst-024_layperson,menst-024,menstrual,layperson,My period is not coming properly — this is about no periods and cysts.,NEEDS_GROUNDING,,,,pending,
menst-024_indirect_cultural,menst-024,menstrual,indirect_cultural,My monthly / womanly problem has become unusual regarding no periods and cysts.,NEEDS_GROUNDING,,,,pending,
menst-024_ambiguous,menst-024,menstrual,ambiguous,Something feels wrong with my cycle / hormones (no periods and cysts).,NEEDS_GROUNDING,,,,pending,
menst-024_emotionally_concerned,menst-024,menstrual,emotionally_concerned,I am really worried and scared about no periods and cysts. Please help me understand what this means.,NEEDS_GROUNDING,,,,pending,
menst-025_canonical,menst-025,menstrual,canonical,"Hi, I havent had a period since 14th December. On 20th December i had unprotected sex, i took Levonelle One two hours afterwards. I have taken 2 pregnancy tests and they are negative. I feel pre-mentstal but yet no period. Is it likely i am pregnant?",NEEDS_GROUNDING,,,,pending,
menst-025_clinical,menst-025,menstrual,clinical,I have no periods and have not had a period.,NEEDS_GROUNDING,,,,pending,
menst-025_layperson,menst-025,menstrual,layperson,My period is not coming properly — this is about no periods and have not had a period.,NEEDS_GROUNDING,,,,pending,
menst-025_indirect_cultural,menst-025,menstrual,indirect_cultural,My monthly / womanly problem has become unusual regarding no periods and have not had a period.,NEEDS_GROUNDING,,,,pending,
menst-025_ambiguous,menst-025,menstrual,ambiguous,Something feels wrong with my cycle / hormones (no periods and have not had a period).,NEEDS_GROUNDING,,,,pending,
menst-025_emotionally_concerned,menst-025,menstrual,emotionally_concerned,I am really worried and scared about no periods and have not had a period. Please help me understand what this means.,NEEDS_GROUNDING,,,,pending,
menst-026_canonical,menst-026,menstrual,canonical,"Im 18 145lbs and have been getting chest pains (heartburn?) that last about 6 hours about twice a week and i havent had my period in 3 months? reasons? I have always had irregular periods but my Dr said it was from sports, i dont play sports any more.",NEEDS_GROUNDING,,,,pending,
menst-026_clinical,menst-026,menstrual,clinical,I have irregular periods.,NEEDS_GROUNDING,,,,pending,
menst-026_layperson,menst-026,menstrual,layperson,My period is not coming properly — this is about irregular periods.,NEEDS_GROUNDING,,,,pending,
menst-026_indirect_cultural,menst-026,menstrual,indirect_cultural,My monthly / womanly problem has become unusual regarding irregular periods.,NEEDS_GROUNDING,,,,pending,
menst-026_ambiguous,menst-026,menstrual,ambiguous,Something feels wrong with my cycle / hormones (irregular periods).,NEEDS_GROUNDING,,,,pending,
menst-026_emotionally_concerned,menst-026,menstrual,emotionally_concerned,I am really worried and scared about irregular periods. Please help me understand what this means.,NEEDS_GROUNDING,,,,pending,
menst-027_canonical,menst-027,menstrual,canonical,"Hello doctor,My last period was 48 days before. Till now no period. Pregnancy kit tests are negative. I have completed Meprate 10 mg five days course. Still no period. What should I do? Please help. I am very stressed.",NEEDS_GROUNDING,,,,pending,
menst-027_clinical,menst-027,menstrual,clinical,I have no periods.,NEEDS_GROUNDING,,,,pending,
menst-027_layperson,menst-027,menstrual,layperson,My period is not coming properly — this is about no periods.,NEEDS_GROUNDING,,,,pending,
menst-027_indirect_cultural,menst-027,menstrual,indirect_cultural,My monthly / womanly problem has become unusual regarding no periods.,NEEDS_GROUNDING,,,,pending,
menst-027_ambiguous,menst-027,menstrual,ambiguous,Something feels wrong with my cycle / hormones (no periods).,NEEDS_GROUNDING,,,,pending,
menst-027_emotionally_concerned,menst-027,menstrual,emotionally_concerned,I am really worried and scared about no periods. Please help me understand what this means.,NEEDS_GROUNDING,,,,pending,
menst-028_canonical,menst-028,menstrual,canonical,"Hi doctor,I am suffering from irregular periods. I am currently taking medication Levothyroxine 50. My T3 is 0.87 ng/mL, T4 is 8.30 ug/dL, TSH is 2.43 uIU/mL. I am 34 years old, weigh 75 kg, and 5 feet tall. Please advice.",NEEDS_GROUNDING,,,,pending,
menst-028_clinical,menst-028,menstrual,clinical,I have irregular periods.,NEEDS_GROUNDING,,,,pending,
menst-028_layperson,menst-028,menstrual,layperson,My period is not coming properly — this is about irregular periods.,NEEDS_GROUNDING,,,,pending,
menst-028_indirect_cultural,menst-028,menstrual,indirect_cultural,My monthly / womanly problem has become unusual regarding irregular periods.,NEEDS_GROUNDING,,,,pending,
menst-028_ambiguous,menst-028,menstrual,ambiguous,Something feels wrong with my cycle / hormones (irregular periods).,NEEDS_GROUNDING,,,,pending,
menst-028_emotionally_concerned,menst-028,menstrual,emotionally_concerned,I am really worried and scared about irregular periods. Please help me understand what this means.,NEEDS_GROUNDING,,,,pending,
menst-029_canonical,menst-029,menstrual,canonical,"Hello doctor,I am 24 years old woman. My weight is 95 kg and height 165. I have irregular periods, ovulation problem. I consulted a doctor, she says hormonal problem, I have not produced an ovum, so the ovulation has stopped.",NEEDS_GROUNDING,,,,pending,
menst-029_clinical,menst-029,menstrual,clinical,"I have irregular periods, ovulation, weight, and hormonal.",NEEDS_GROUNDING,,,,pending,
menst-029_layperson,menst-029,menstrual,layperson,"My period is not coming properly — this is about irregular periods, ovulation, weight, and hormonal.",NEEDS_GROUNDING,,,,pending,
menst-029_indirect_cultural,menst-029,menstrual,indirect_cultural,"My monthly / womanly problem has become unusual regarding irregular periods, ovulation, weight, and hormonal.",NEEDS_GROUNDING,,,,pending,
menst-029_ambiguous,menst-029,menstrual,ambiguous,"Something feels wrong with my cycle / hormones (irregular periods, ovulation, weight, and hormonal).",NEEDS_GROUNDING,,,,pending,
menst-029_emotionally_concerned,menst-029,menstrual,emotionally_concerned,"I am really worried and scared about irregular periods, ovulation, weight, and hormonal. Please help me understand what this means.",NEEDS_GROUNDING,,,,pending,
menst-030_canonical,menst-030,menstrual,canonical,"Hello doctor,I have irregular periods. After an ultrasound, I came to know that I have multiple cysts over the periphery of ovaries. I want to conceive as I am trying for two months but failed. Tell me what to do.",NEEDS_GROUNDING,,,,pending,
menst-030_clinical,menst-030,menstrual,clinical,"I have irregular periods, cysts, and conceive.",NEEDS_GROUNDING,,,,pending,
menst-030_layperson,menst-030,menstrual,layperson,"My period is not coming properly — this is about irregular periods, cysts, and conceive.",NEEDS_GROUNDING,,,,pending,
menst-030_indirect_cultural,menst-030,menstrual,indirect_cultural,"My monthly / womanly problem has become unusual regarding irregular periods, cysts, and conceive.",NEEDS_GROUNDING,,,,pending,
menst-030_ambiguous,menst-030,menstrual,ambiguous,"Something feels wrong with my cycle / hormones (irregular periods, cysts, and conceive).",NEEDS_GROUNDING,,,,pending,
