item_id,seed_id,category,style,source_text_en,gold_condition,ar_text,ar_text_slang_eg,ar_translator_id,ar_reviewer_id,ar_validation_status,ar_notes
menst-003_indirect_cultural,menst-003,menstrual,indirect_cultural,The pain I get every month during my cycle — could that be connected to having children later?,NEEDS_GROUNDING,الألم الذي أشعر به كل شهر أثناء الدورة؛ هل يمكن أن يكون له صلة بقدرتي على الإنجاب مستقبلًا؟,الوجع اللي حاسّة به كل شهر أثناء الدورة؛ ممكن يكون له صلة بقدرتي على الحمل قدام؟,ChatGPT 5.6-Sol,Jun,reviewed,ترجمة واضحة — حافظت على المعنى والسياق
menst-003_ambiguous,menst-003,menstrual,ambiguous,Does the pain I get sometimes mean something about my body down the line?,NEEDS_GROUNDING,هل الألم الذي أشعر به أحيانًا قد يدل على شيء يتعلق بجسمي في المستقبل؟,هل الوجع اللي حاسّة به أحيانًا قد يدل على حاجة يتعلق بجسمي قدام؟,ChatGPT 5.6-Sol,Jul,reviewed,ترجمة واضحة — حافظت على المعنى والسياق
menst-003_emotionally_concerned,menst-003,menstrual,emotionally_concerned,I get really bad period pain and I'm terrified it might be hurting my chances of having children — is that possible?,NEEDS_GROUNDING,"أعاني ألمًا شديدًا جدًا أثناء الدورة، وأخشى أن يقلل فرصي في الإنجاب؛ هل هذا ممكن؟","بعاني وجع جامد أوي أثناء الدورة، وخايفة إن يقلل فرصي في الإنجاب؛ هل ده ممكن؟",ChatGPT 5.6-Sol,Aug,reviewed,ترجمة واضحة — حافظت على المعنى والسياق
menst-004_canonical,menst-004,menstrual,canonical,What causes irregular periods?,NEEDS_GROUNDING,ما أسباب عدم انتظام الدورة الشهرية؟,إيه أسباب لخبطة الدورة؟,ChatGPT 5.6-Sol,Sep,reviewed,ترجمة واضحة — حافظت على المعنى والسياق
menst-004_clinical,menst-004,menstrual,clinical,Patient requests information on the etiology of menstrual cycle irregularity.,NEEDS_GROUNDING,تطلب المريضة معلومات عن مسببات اضطراب الدورة الشهرية وعدم انتظامها.,المريضة عايزة تعرف عن مسببات لخبطة الدورة وعدم انتظامها.,ChatGPT 5.6-Sol,Oct,reviewed,ترجمة واضحة — حافظت على المعنى والسياق
menst-004_layperson,menst-004,menstrual,layperson,What makes periods become irregular in the first place?,NEEDS_GROUNDING,ما الذي يجعل الدورة الشهرية تصبح غير منتظمة من الأساس؟,إيه اللي بيخلي الدورة تبقى مش منتظمة من الأول؟,ChatGPT 5.6-Sol,Nov,reviewed,ترجمة واضحة — حافظت على المعنى والسياق
menst-004_indirect_cultural,menst-004,menstrual,indirect_cultural,Why does a woman's monthly cycle sometimes stop being predictable?,NEEDS_GROUNDING,لماذا تفقد الدورة الشهرية لدى المرأة انتظامها أحيانًا؟,ليه تفقد الدورة لدى المرأة انتظامها أحيانًا؟,ChatGPT 5.6-Sol,Dec,reviewed,ترجمة واضحة — حافظت على المعنى والسياق
menst-004_ambiguous,menst-004,menstrual,ambiguous,Why would something like that happen with a cycle?,NEEDS_GROUNDING,لماذا قد يحدث شيء كهذا للدورة؟,ليه ممكن يحصل حاجة كده للدورة؟,ChatGPT 5.6-Sol,Jan,reviewed,ترجمة واضحة — حافظت على المعنى والسياق
menst-004_emotionally_concerned,menst-004,menstrual,emotionally_concerned,My periods have gotten so unpredictable and it's stressing me out — what could be causing that?,NEEDS_GROUNDING,أصبحت دورتي غير متوقعة جدًا وهذا يسبب لي توترًا؛ ما الأسباب المحتملة لذلك؟,بقت دورتي غير متوقعة أوي وده يسبب لي توترًا؛ ما الأسباب المحتملة عشان كده؟,ChatGPT 5.6-Sol,Feb,reviewed,ترجمة واضحة — حافظت على المعنى والسياق
menst-005_canonical,menst-005,menstrual,canonical,I want to try out different supplements to reduce my PMS symptoms but I am not sure if I should take them without consulting my doctor. What is the importance of talking to a doctor before taking supplements for PMS?,NEEDS_GROUNDING,"أريد تجربة مكملات مختلفة لتخفيف أعراض متلازمة ما قبل الحيض (PMS)، لكنني لست متأكدة من تناولها من دون استشارة الطبيب. ما أهمية التحدث إلى الطبيب قبل استخدام هذه المكملات؟","عايزة أجرب مكملات مختلفة لتخفيف أعراض متلازمة ما قبل الحيض (PMS)، بس أنا لست متأكدة من تناولها من غير سؤال الدكتور. إيه أهمية التحدث إلى الدكتور قبل استخدام المكملات دي؟",ChatGPT 5.6-Sol,Mar,reviewed,ترجمة واضحة — حافظت على المعنى والسياق
menst-005_clinical,menst-005,menstrual,clinical,Patient wishes to initiate supplement use for premenstrual syndrome symptom management and requests clinical rationale for physician consultation prior to starting.,NEEDS_GROUNDING,"ترغب المريضة في بدء استخدام مكملات لتخفيف أعراض متلازمة ما قبل الحيض، وتطلب توضيح المبررات الطبية لاستشارة الطبيب قبل البدء بها.","ترغب المريضة في بدء استخدام مكملات لتخفيف أعراض متلازمة ما قبل الحيض، وعايزة توضيح المبررات الطبية لسؤال الدكتور قبل البدء بها.",ChatGPT 5.6-Sol,Apr,reviewed,ترجمة واضحة — حافظت على المعنى والسياق
menst-005_layperson,menst-005,menstrual,layperson,"I want to try some supplements for my PMS symptoms, but I'm not sure if I should just start taking them on my own. Why is it important to check with a doctor first?",NEEDS_GROUNDING,"أريد تجربة بعض المكملات لأعراض ما قبل الدورة، لكنني لا أعرف إن كان يصح أن أبدأها بنفسي. لماذا من المهم سؤال الطبيب أولًا؟","عايزة أجرب بعض المكملات لأعراض ما قبل الدورة، بس أنا مش عارفة إن كان يصح أن أبدأها بنفسي. ليه من المهم سؤال الدكتور أولًا؟",ChatGPT 5.6-Sol,May,reviewed,ترجمة واضحة — حافظت على المعنى والسياق
menst-005_indirect_cultural,menst-005,menstrual,indirect_cultural,There are these natural remedies people talk about for that time-of-the-month discomfort — should I really ask a doctor before trying them myself?,NEEDS_GROUNDING,يتحدث الناس عن علاجات طبيعية لتخفيف تعب أيام ما قبل الدورة؛ فهل ينبغي فعلًا أن أستشير طبيبًا قبل أن أجربها بنفسي؟,يتحدث الناس عن علاجات طبيعية لتخفيف تعب أيام ما قبل الدورة؛ فهل المفروض فعلًا أن أستشير دكتور قبل أن أجربها بنفسي؟,ChatGPT 5.6-Sol,Jun,reviewed,ترجمة واضحة — حافظت على المعنى والسياق
menst-005_ambiguous,menst-005,menstrual,ambiguous,I'm thinking about trying something over-the-counter for how I feel before my period — is that something I need to ask about first?,NEEDS_GROUNDING,أفكر في تجربة شيء يُباع من دون وصفة لما أشعر به قبل الدورة؛ هل يجب أن أسأل مختصًا أولًا؟,بفكر في تجربة حاجة يُباع من غير وصفة لما حاسّة به قبل الدورة؛ هل لازم أسأل مختصًا أولًا؟,ChatGPT 5.6-Sol,Jul,reviewed,ترجمة واضحة — حافظت على المعنى والسياق
menst-005_emotionally_concerned,menst-005,menstrual,emotionally_concerned,"I really want relief from my PMS and I'm eyeing some supplements, but I'm nervous about just taking them without a doctor's OK — is that something I should be worried about?",NEEDS_GROUNDING,"أريد بشدة أن أخفف أعراض ما قبل الدورة، وأفكر في تناول بعض المكملات، لكنني متوترة من استخدامها من دون موافقة الطبيب؛ هل هناك ما يدعو للقلق؟","عايزة أوي أن أخفف أعراض ما قبل الدورة، وبفكر في تناول بعض المكملات، بس أنا متوترة من استخدامها من غير موافقة الطبيب؛ فيه ما يدعو للقلق؟",ChatGPT 5.6-Sol,Aug,reviewed,ترجمة واضحة — حافظت على المعنى والسياق
menst-006_canonical,menst-006,menstrual,canonical,I am an athlete and I have been under a lot of stress due to my training schedule. I have not received my periods since the past 3 months. Is stress the reason behind temporary amenorrhea?,NEEDS_GROUNDING,"أنا رياضية وأتعرض لضغط كبير بسبب جدول التدريب، ولم تأتني الدورة منذ 3 أشهر. هل يمكن أن يكون التوتر سبب انقطاع الطمث المؤقت؟","أنا رياضية وأتعرض لضغط كبير عشان جدول التدريب، والدورة مجتليش من 3 شهور. ممكن يكون التوتر سبب انقطاع الدورة المؤقت؟",ChatGPT 5.6-Sol,Sep,reviewed,ترجمة واضحة — حافظت على المعنى والسياق
menst-006_clinical,menst-006,menstrual,clinical,Patient is a competitive athlete reporting 3 months of secondary amenorrhea in the context of high training-related stress; requests clarification on stress as an etiology for temporary amenorrhea.,NEEDS_GROUNDING,"المريضة رياضية تنافسية وتشكو انقطاع طمث ثانويًا منذ 3 أشهر في سياق ضغط شديد مرتبط بالتدريب، وتطلب توضيح ما إذا كان التوتر سببًا محتملًا لانقطاع الطمث المؤقت.","المريضة رياضية تنافسية وتشكو انقطاع طمث ثانويًا من 3 شهور في سياق ضغط شديد مرتبط بالتدريب، وعايزة توضيح ما لو كان التوتر سببًا محتملًا لانقطاع الدورة المؤقت.",ChatGPT 5.6-Sol,Oct,reviewed,ترجمة واضحة — حافظت على المعنى والسياق
menst-006_layperson,menst-006,menstrual,layperson,I'm an athlete and my training schedule has been really stressful lately. I haven't had my period in 3 months. Could stress be the reason my periods stopped temporarily?,NEEDS_GROUNDING,"أنا رياضية، وكان جدول تدريبي مرهقًا جدًا مؤخرًا، ولم تأتني الدورة منذ 3 أشهر. هل يمكن أن يكون التوتر سبب توقفها مؤقتًا؟","أنا رياضية، وكان جدول تدريبي مرهقًا أوي الفترة الأخيرة، والدورة مجتليش من 3 شهور. ممكن يكون التوتر سبب توقفها مؤقتًا؟",ChatGPT 5.6-Sol,Nov,reviewed,ترجمة واضحة — حافظت على المعنى والسياق
menst-006_indirect_cultural,menst-006,menstrual,indirect_cultural,"With all the pressure from my training, my monthly cycle just stopped coming for three months now — could the stress be behind that?",NEEDS_GROUNDING,"مع كل الضغط الناتج عن التدريب، توقفت دورتي الشهرية منذ ثلاثة أشهر؛ فهل يمكن أن يكون التوتر وراء ذلك؟","مع كل الضغط الناتج عن التدريب، دورتي وقفت من تلات شهور؛ فممكن يكون التوتر وراء ده؟",ChatGPT 5.6-Sol,Dec,reviewed,ترجمة واضحة — حافظت على المعنى والسياق
menst-006_ambiguous,menst-006,menstrual,ambiguous,I've been under a lot of pressure lately and something with my cycle has changed for a few months — could that be connected?,NEEDS_GROUNDING,"أتعرض لضغط شديد منذ فترة، وتغير شيء في دورتي خلال الأشهر الماضية؛ هل يمكن أن يكون الأمران مرتبطين؟","أتعرض لضغط شديد من فترة، وتغير حاجة في دورتي خلال الأشهر الماضية؛ ممكن يكون الأمران مرتبطين؟",ChatGPT 5.6-Sol,Jan,reviewed,ترجمة واضحة — حافظت على المعنى والسياق
menst-006_emotionally_concerned,menst-006,menstrual,emotionally_concerned,"I'm an athlete under so much stress from training and my period hasn't come in 3 months — I'm really worried, could the stress be causing this?",NEEDS_GROUNDING,"أنا رياضية وأعيش ضغطًا كبيرًا بسبب التدريب، ولم تأتني الدورة منذ 3 أشهر. أشعر بقلق شديد؛ هل يمكن أن يكون التوتر هو السبب؟","أنا رياضية وأعيش ضغطًا كبيرًا عشان التدريب، والدورة مجتليش من 3 شهور. أنا قلقانة جدًا؛ ممكن يكون التوتر هو السبب؟",ChatGPT 5.6-Sol,Feb,reviewed,ترجمة واضحة — حافظت على المعنى والسياق
menst-007_canonical,menst-007,menstrual,canonical,I have irregular periods and I have to travel to the city to discuss it with a doctor. What kinds of tests can the doctor do to find out the reason for my abnormal periods?,NEEDS_GROUNDING,"دورتي غير منتظمة، وسأسافر إلى المدينة لمناقشة الأمر مع طبيب. ما الفحوصات التي قد يجريها لمعرفة سبب اضطراب الدورة؟","دورتي مش منتظمة، وسأسافر إلى المدينة لمناقشة الموضوع مع طبيب. ما الفحوصات اللي قد يجريها لمعرفة سبب لخبطة الدورة؟",ChatGPT 5.6-Sol,Mar,reviewed,ترجمة واضحة — حافظت على المعنى والسياق
menst-007_clinical,menst-007,menstrual,clinical,"Patient with irregular menses, planning to travel to seek in-person evaluation, inquires about diagnostic workup options for abnormal menstrual cycles.",NEEDS_GROUNDING,"تعاني المريضة من عدم انتظام الطمث وتخطط للسفر لإجراء تقييم طبي حضوري، وتسأل عن الفحوص التشخيصية الممكنة لتحديد سبب اضطراب الدورة الشهرية.","المريضة عندها عدم انتظام الدورة وتخطط للسفر لإجراء تقييم طبي حضوري، وبتسأل عن الفحوص التشخيصية الممكنة لتحديد سبب لخبطة الدورة.",ChatGPT 5.6-Sol,Apr,reviewed,ترجمة واضحة — حافظت على المعنى والسياق
menst-007_layperson,menst-007,menstrual,layperson,I have irregular periods and I'm going to travel into the city to see a doctor about it. What kinds of tests might they run to figure out why my periods are abnormal?,NEEDS_GROUNDING,دورتي غير منتظمة وسأسافر إلى المدينة لمراجعة طبيب بشأنها. ما الفحوصات التي قد يطلبها لمعرفة سبب المشكلة؟,دورتي مش منتظمة وسأسافر إلى المدينة لمراجعة طبيب بشأنها. ما الفحوصات اللي قد يطلبها لمعرفة سبب المشكلة؟,ChatGPT 5.6-Sol,May,reviewed,ترجمة واضحة — حافظت على المعنى والسياق
menst-007_indirect_cultural,menst-007,menstrual,indirect_cultural,"My cycle hasn't been right for a while, so I'm making the trip to the city to see someone about it — what would they even check to find the reason?",NEEDS_GROUNDING,"دورتي ليست على ما يرام منذ مدة، ولذلك سأذهب إلى المدينة لمراجعة مختص؛ ما الأمور التي قد يفحصها لمعرفة السبب؟","دورتي مش مظبوطة من فترة، وعشان كده سأذهب إلى المدينة لمراجعة مختص؛ ما الأمور اللي قد يفحصها لمعرفة السبب؟",ChatGPT 5.6-Sol,Jun,reviewed,ترجمة واضحة — حافظت على المعنى والسياق
menst-007_ambiguous,menst-007,menstrual,ambiguous,I'm going to see someone in the city about a cycle issue I've been having — what would they likely test for?,NEEDS_GROUNDING,سأراجع شخصًا مختصًا في المدينة بسبب مشكلة في دورتي؛ ما الفحوصات التي يُحتمل أن يطلبها؟,سأراجع شخصًا مختصًا في المدينة عشان مشكلة في دورتي؛ ما الفحوصات اللي محتمل أن يطلبها؟,ChatGPT 5.6-Sol,Jul,reviewed,ترجمة واضحة — حافظت على المعنى والسياق
menst-007_emotionally_concerned,menst-007,menstrual,emotionally_concerned,I'm nervous about the trip to the city to finally see a doctor about my irregular periods — what tests should I expect them to do to find out what's wrong?,NEEDS_GROUNDING,أشعر بالتوتر من سفري إلى المدينة لمراجعة الطبيب أخيرًا بشأن دورتي غير المنتظمة؛ ما الفحوصات التي أتوقع أن يجريها لمعرفة ما المشكلة؟,حاسّة بالتوتر من سفري إلى المدينة لالذهاب للدكتور أخيرًا بشأن دورتي غير المنتظمة؛ ما الفحوصات اللي أتوقع أن يجريها لمعرفة ما المشكلة؟,ChatGPT 5.6-Sol,Aug,reviewed,ترجمة واضحة — حافظت على المعنى والسياق
menst-008_canonical,menst-008,menstrual,canonical,Due to my irregular periods I am worried about getting pregnant even after taking the necessary precautions. Is it possible for me to conceive even with irregular periods?,NEEDS_GROUNDING,بسبب عدم انتظام دورتي أخشى حدوث حمل رغم اتخاذ الاحتياطات اللازمة. هل يمكن أن أحمل مع دورة غير منتظمة؟,عشان لخبطة دورتي أخشى حدوث حمل رغم اتخاذ الاحتياطات اللازمة. ممكن أحمل مع دورة مش منتظمة؟,ChatGPT 5.6-Sol,Sep,reviewed,ترجمة واضحة — حافظت على المعنى والسياق
menst-008_clinical,menst-008,menstrual,clinical,Patient with irregular menstrual cycles expresses concern regarding contraceptive efficacy and inquires about the possibility of conception despite cycle irregularity.,NEEDS_GROUNDING,"تعرب المريضة، التي تعاني دورات شهرية غير منتظمة، عن قلقها بشأن فاعلية وسائل منع الحمل وتسأل عن احتمال حدوث الحمل رغم اضطراب الدورة.","تعرب المريضة، اللي بتعاني دورات شهرية مش منتظمة، عن قلقها بشأن فاعلية وسائل منع الحمل وبتسأل عن احتمال حدوث الحمل رغم لخبطة الدورة.",ChatGPT 5.6-Sol,Oct,reviewed,ترجمة واضحة — حافظت على المعنى والسياق
menst-008_layperson,menst-008,menstrual,layperson,"Because my periods are irregular, I'm worried I could still get pregnant even though I'm using protection. Is it possible to conceive with irregular periods?",NEEDS_GROUNDING,"لأن دورتي غير منتظمة، أخشى أن أحمل رغم استخدام وسيلة حماية. هل يمكن حدوث حمل مع دورة غير منتظمة؟","عشان دورتي مش منتظمة، خايفة إن أحمل رغم استخدام وسيلة حماية. هل ممكن حدوث حمل مع دورة مش منتظمة؟",ChatGPT 5.6-Sol,Nov,reviewed,ترجمة واضحة — حافظت على المعنى والسياق
menst-008_indirect_cultural,menst-008,menstrual,indirect_cultural,"My cycle isn't predictable, and even though we're careful, I worry it could still lead to a pregnancy — is that something that can happen with an irregular cycle?",NEEDS_GROUNDING,"دورتي غير متوقعة، ورغم أننا نأخذ احتياطاتنا أخشى أن يحدث حمل؛ هل يمكن أن يقع ذلك مع عدم انتظام الدورة؟","دورتي غير متوقعة، ورغم أننا نأخذ احتياطاتنا خايفة إن يحصل حمل؛ ممكن يقع ده مع لخبطة الدورة؟",ChatGPT 5.6-Sol,Dec,reviewed,ترجمة واضحة — حافظت على المعنى والسياق
menst-008_ambiguous,menst-008,menstrual,ambiguous,"Even with precautions, could something still happen given how unpredictable things have been for me lately?",NEEDS_GROUNDING,"رغم اتخاذ الاحتياطات، هل يمكن أن يحدث أمر غير متوقع بسبب اضطراب حالتي مؤخرًا؟","رغم اتخاذ الاحتياطات، ممكن يحصل أمر غير متوقع عشان اضطراب حالتي الفترة الأخيرة؟",ChatGPT 5.6-Sol,Jan,reviewed,ترجمة واضحة — حافظت على المعنى والسياق
menst-008_emotionally_concerned,menst-008,menstrual,emotionally_concerned,"I'm so anxious that even with precautions, my irregular periods mean I could still get pregnant — is that actually possible?",NEEDS_GROUNDING,أشعر بقلق شديد من أن تعني دورتي غير المنتظمة إمكانية حدوث حمل حتى مع اتخاذ الاحتياطات؛ هل هذا ممكن فعلًا؟,أنا قلقانة أوي من أن تعني دورتي غير المنتظمة إمكانية حدوث حمل حتى مع اتخاذ الاحتياطات؛ هل ده ممكن فعلًا؟,ChatGPT 5.6-Sol,Feb,reviewed,ترجمة واضحة — حافظت على المعنى والسياق
menst-009_canonical,menst-009,menstrual,canonical,"My daughter has been going through a lot of stress due to her examinations. As a result, she has stopped getting her periods. How does stress trigger temporary amenorrhea?",NEEDS_GROUNDING,"تتعرض ابنتي لضغط شديد بسبب الامتحانات، وقد توقفت دورتها الشهرية نتيجة لذلك. كيف يسبب التوتر انقطاع الطمث المؤقت؟","تتعرض بنتي لضغط شديد عشان الامتحانات، وقد دورتها وقفت نتيجة عشان كده. إزاي يسبب التوتر انقطاع الدورة المؤقت؟",ChatGPT 5.6-Sol,Mar,reviewed,ترجمة واضحة — حافظت على المعنى والسياق
menst-009_clinical,menst-009,menstrual,clinical,Caregiver reports adolescent patient with examination-related stress and resultant cessation of menses; requests explanation of the stress–amenorrhea mechanism.,NEEDS_GROUNDING,"يفيد ولي الأمر بأن مريضة مراهقة تتعرض لضغط مرتبط بالامتحانات وتوقفت لديها الدورة الشهرية، ويطلب شرح آلية ارتباط التوتر بانقطاع الطمث.","ولي الموضوع بيقول إن مريضة مراهقة تتعرض لضغط مرتبط بالامتحانات وتوقفت عندها الدورة، ويطلب شرح آلية ارتباط التوتر بانقطاع الدورة.",ChatGPT 5.6-Sol,Apr,reviewed,ترجمة واضحة — حافظت على المعنى والسياق
menst-009_layperson,menst-009,menstrual,layperson,My daughter's been really stressed out because of her exams and now her periods have stopped. How does stress actually cause periods to stop temporarily?,NEEDS_GROUNDING,"ابنتي متوترة جدًا بسبب الامتحانات، والآن توقفت دورتها. كيف يمكن للتوتر أن يوقف الدورة مؤقتًا؟","بنتي متوترة أوي عشان الامتحانات، ودلوقتي دورتها وقفت. إزاي التوتر ممكن يوقف الدورة مؤقتًا؟",ChatGPT 5.6-Sol,May,reviewed,ترجمة واضحة — حافظت على المعنى والسياق
menst-009_indirect_cultural,menst-009,menstrual,indirect_cultural,My daughter's been under a lot of pressure with her studies and her monthly cycle has just stopped — how does that kind of stress do that to a girl's body?,NEEDS_GROUNDING,"تتعرض ابنتي لضغط كبير بسبب الدراسة، وقد توقفت دورتها الشهرية؛ كيف يمكن لهذا النوع من التوتر أن يؤثر بهذه الطريقة في جسم الفتاة؟","تتعرض بنتي لضغط كبير عشان الدراسة، وقد دورتها وقفت؛ إزاي ممكن لالنوع ده من التوتر يأثر بالطريقة دي في جسم الفتاة؟",ChatGPT 5.6-Sol,Jun,reviewed,ترجمة واضحة — حافظت على المعنى والسياق
menst-009_ambiguous,menst-009,menstrual,ambiguous,My daughter's been really stressed lately and something changed with her cycle — could the stress really do that?,NEEDS_GROUNDING,"كانت ابنتي متوترة جدًا مؤخرًا، وتغير شيء في دورتها؛ هل يمكن أن يفعل التوتر ذلك فعلًا؟","كانت بنتي متوترة أوي الفترة الأخيرة، وتغير حاجة في دورتها؛ ممكن يفعل التوتر ده فعلًا؟",ChatGPT 5.6-Sol,Jul,reviewed,ترجمة واضحة — حافظت على المعنى والسياق
menst-009_emotionally_concerned,menst-009,menstrual,emotionally_concerned,"I'm so worried about my daughter — the exam stress has made her periods stop completely. How does stress cause that, and should I be concerned?",NEEDS_GROUNDING,"أنا قلقة جدًا على ابنتي؛ فقد أدى ضغط الامتحانات إلى توقف دورتها تمامًا. كيف يسبب التوتر ذلك، وهل ينبغي أن أقلق؟","أنا قلقانة أوي على ابنتي؛ فقد أدى ضغط الامتحانات إلى توقف دورتها تمامًا. إزاي يسبب التوتر ده، وهل لازم أقلق؟",ChatGPT 5.6-Sol,Aug,reviewed,ترجمة واضحة — حافظت على المعنى والسياق
