qa_id,source_dataset,source_row_id,exclusion_reason
menst:train24K:7064:menstrual,MENST_train24K,train24K:7064,answer_hash_match
menst:train24K:7066:menstrual,MENST_train24K,train24K:7066,answer_hash_match
menst:train24K:7067:menstrual,MENST_train24K,train24K:7067,source_row_id_match
menst:train24K:7068:menstrual,MENST_train24K,train24K:7068,source_row_id_match
menst:train24K:7069:menstrual,MENST_train24K,train24K:7069,answer_hash_match
menst:train24K:7071:menstrual,MENST_train24K,train24K:7071,answer_hash_match
menst:train24K:8620:pcos,MENST_train24K,train24K:8620,answer_hash_match
menst:train24K:8621:menstrual,MENST_train24K,train24K:8621,answer_hash_match
menst:train24K:8622:menstrual,MENST_train24K,train24K:8622,answer_hash_match
menst:train24K:8623:menstrual,MENST_train24K,train24K:8623,source_row_id_match
menst:train24K:8624:menstrual,MENST_train24K,train24K:8624,answer_hash_match
menst:train24K:8625:pcos,MENST_train24K,train24K:8625,answer_hash_match
menst:train24K:8626:menstrual,MENST_train24K,train24K:8626,source_row_id_match
menst:train24K:8627:menstrual,MENST_train24K,train24K:8627,answer_hash_match
menst:train24K:8628:menstrual,MENST_train24K,train24K:8628,source_row_id_match
menst:train24K:8629:pcos,MENST_train24K,train24K:8629,answer_hash_match
menst:train24K:8630:menstrual,MENST_train24K,train24K:8630,answer_hash_match
menst:train24K:8631:pcos,MENST_train24K,train24K:8631,answer_hash_match
menst:train24K:8854:pcos,MENST_train24K,train24K:8854,answer_hash_match
menst:train24K:8855:pcos,MENST_train24K,train24K:8855,answer_hash_match
menst:train24K:8856:pcos,MENST_train24K,train24K:8856,answer_hash_match
menst:train24K:8857:pcos,MENST_train24K,train24K:8857,answer_hash_match
menst:train24K:8858:pcos,MENST_train24K,train24K:8858,answer_hash_match
menst:train24K:8859:pcos,MENST_train24K,train24K:8859,answer_hash_match
menst:train24K:8860:pcos,MENST_train24K,train24K:8860,source_row_id_match
menst:train24K:8861:menstrual,MENST_train24K,train24K:8861,answer_hash_match
menst:train24K:8862:pcos,MENST_train24K,train24K:8862,answer_hash_match
menst:train24K:8863:pcos,MENST_train24K,train24K:8863,answer_hash_match
menst:train24K:8864:pcos,MENST_train24K,train24K:8864,answer_hash_match
menst:train24K:8865:pcos,MENST_train24K,train24K:8865,answer_hash_match
menst:train24K:9803:fertility,MENST_train24K,train24K:9803,source_row_id_match
menst:train24K:9804:fertility,MENST_train24K,train24K:9804,answer_hash_match
menst:train24K:9805:fertility,MENST_train24K,train24K:9805,answer_hash_match
menst:train24K:9806:fertility,MENST_train24K,train24K:9806,answer_hash_match
menst:train24K:9807:fertility,MENST_train24K,train24K:9807,answer_hash_match
menst:train24K:9808:fertility,MENST_train24K,train24K:9808,answer_hash_match
menst:train24K:9809:fertility,MENST_train24K,train24K:9809,answer_hash_match
menst:train24K:9810:fertility,MENST_train24K,train24K:9810,answer_hash_match
menst:train24K:9811:fertility,MENST_train24K,train24K:9811,answer_hash_match
menst:train24K:9813:fertility,MENST_train24K,train24K:9813,answer_hash_match
menst:train24K:9814:fertility,MENST_train24K,train24K:9814,answer_hash_match
menst:train24K:14938:menstrual,MENST_train24K,train24K:14938,source_row_id_match
menst:train24K:14939:menstrual,MENST_train24K,train24K:14939,answer_hash_match
menst:train24K:14940:menstrual,MENST_train24K,train24K:14940,answer_hash_match
menst:train24K:14941:menstrual,MENST_train24K,train24K:14941,source_row_id_match
menst:train24K:14942:menstrual,MENST_train24K,train24K:14942,answer_hash_match
menst:train24K:14943:menstrual,MENST_train24K,train24K:14943,answer_hash_match
menst:train24K:14945:menstrual,MENST_train24K,train24K:14945,answer_hash_match
menst:train24K:14946:menstrual,MENST_train24K,train24K:14946,answer_hash_match
menst:train24K:14947:menstrual,MENST_train24K,train24K:14947,answer_hash_match
menst:train24K:14948:menstrual,MENST_train24K,train24K:14948,answer_hash_match
menst:train24K:14949:fertility,MENST_train24K,train24K:14949,source_row_id_match
menst:train24K:15289:fertility,MENST_train24K,train24K:15289,answer_hash_match
menst:train24K:15290:fertility,MENST_train24K,train24K:15290,answer_hash_match
menst:train24K:15291:fertility,MENST_train24K,train24K:15291,answer_hash_match
menst:train24K:15292:fertility,MENST_train24K,train24K:15292,answer_hash_match
menst:train24K:15293:menstrual,MENST_train24K,train24K:15293,answer_hash_match
menst:train24K:15294:fertility,MENST_train24K,train24K:15294,answer_hash_match
menst:train24K:15295:fertility,MENST_train24K,train24K:15295,source_row_id_match
menst:train24K:15296:fertility,MENST_train24K,train24K:15296,answer_hash_match
menst:train24K:15297:fertility,MENST_train24K,train24K:15297,answer_hash_match
menst:train24K:15298:fertility,MENST_train24K,train24K:15298,answer_hash_match
menst:train24K:15299:fertility,MENST_train24K,train24K:15299,answer_hash_match
menst:train24K:15300:fertility,MENST_train24K,train24K:15300,answer_hash_match
icliniq:1159:menstrual,ChatDoctor-iCliniq,1159,source_row_id_match
icliniq:1382:pcos,ChatDoctor-iCliniq,1382,source_row_id_match
icliniq:1651:pcos,ChatDoctor-iCliniq,1651,source_row_id_match
icliniq:2956:menstrual,ChatDoctor-iCliniq,2956,source_row_id_match
icliniq:3437:pcos,ChatDoctor-iCliniq,3437,source_row_id_match
icliniq:3699:pcos,ChatDoctor-iCliniq,3699,source_row_id_match
icliniq:4500:menstrual,ChatDoctor-iCliniq,4500,source_row_id_match
icliniq:4746:pcos,ChatDoctor-iCliniq,4746,source_row_id_match
icliniq:5584:menstrual,ChatDoctor-iCliniq,5584,source_row_id_match
icliniq:5688:fertility,ChatDoctor-iCliniq,5688,source_row_id_match
icliniq:6240:menstrual,ChatDoctor-iCliniq,6240,source_row_id_match
icliniq:6651:pcos,ChatDoctor-iCliniq,6651,source_row_id_match
hcm:7595:menstrual,HealthCareMagic-100k,7595,source_row_id_match
hcm:12293:pcos,HealthCareMagic-100k,12293,source_row_id_match
hcm:14095:pcos,HealthCareMagic-100k,14095,source_row_id_match
hcm:20984:pcos,HealthCareMagic-100k,20984,source_row_id_match
hcm:21786:menstrual,HealthCareMagic-100k,21786,source_row_id_match
hcm:26742:fertility,HealthCareMagic-100k,26742,source_row_id_match
hcm:29251:menstrual,HealthCareMagic-100k,29251,source_row_id_match
hcm:31410:menstrual,HealthCareMagic-100k,31410,source_row_id_match
hcm:33258:menstrual,HealthCareMagic-100k,33258,source_row_id_match
hcm:34987:menstrual,HealthCareMagic-100k,34987,source_row_id_match
hcm:38268:menstrual,HealthCareMagic-100k,38268,source_row_id_match
hcm:39282:fertility,HealthCareMagic-100k,39282,source_row_id_match
hcm:39311:fertility,HealthCareMagic-100k,39311,source_row_id_match
hcm:39921:menstrual,HealthCareMagic-100k,39921,source_row_id_match
hcm:42196:pcos,HealthCareMagic-100k,42196,source_row_id_match
hcm:43630:fertility,HealthCareMagic-100k,43630,source_row_id_match
hcm:45294:fertility,HealthCareMagic-100k,45294,source_row_id_match
hcm:51768:menstrual,HealthCareMagic-100k,51768,source_row_id_match
hcm:73441:menstrual,HealthCareMagic-100k,73441,source_row_id_match
hcm:74280:menstrual,HealthCareMagic-100k,74280,source_row_id_match
hcm:78907:menstrual,HealthCareMagic-100k,78907,source_row_id_match
hcm:80546:fertility,HealthCareMagic-100k,80546,source_row_id_match
hcm:81142:pcos,HealthCareMagic-100k,81142,source_row_id_match
hcm:88025:fertility,HealthCareMagic-100k,88025,source_row_id_match
hcm:89842:pcos,HealthCareMagic-100k,89842,source_row_id_match
hcm:91838:pcos,HealthCareMagic-100k,91838,source_row_id_match
hcm:92581:fertility,HealthCareMagic-100k,92581,source_row_id_match
hcm:95225:pcos,HealthCareMagic-100k,95225,source_row_id_match
hcm:97633:menstrual,HealthCareMagic-100k,97633,source_row_id_match
hcm:97712:pcos,HealthCareMagic-100k,97712,source_row_id_match
hcm:98510:pcos,HealthCareMagic-100k,98510,source_row_id_match
hcm:102112:menstrual,HealthCareMagic-100k,102112,source_row_id_match
hcm:104706:pcos,HealthCareMagic-100k,104706,source_row_id_match
hcm:106383:menstrual,HealthCareMagic-100k,106383,source_row_id_match
hcm:106993:menstrual,HealthCareMagic-100k,106993,source_row_id_match
hcm:106997:fertility,HealthCareMagic-100k,106997,source_row_id_match
hcm:107020:menstrual,HealthCareMagic-100k,107020,source_row_id_match
hcm:108545:menstrual,HealthCareMagic-100k,108545,source_row_id_match
hcm:109413:pcos,HealthCareMagic-100k,109413,source_row_id_match
hcm:109797:menstrual,HealthCareMagic-100k,109797,source_row_id_match
hcm:110102:menstrual,HealthCareMagic-100k,110102,source_row_id_match
hcm:111073:fertility,HealthCareMagic-100k,111073,source_row_id_match
hcm:111550:pcos,HealthCareMagic-100k,111550,source_row_id_match
hcm:111904:pcos,HealthCareMagic-100k,111904,source_row_id_match
